"vd_dc
References : ['mag(AC.I_Probe1.i)']
Dependency : [vd_dc]
Num. Points : [51]
Matrix Size : scalar
Type : Real","vg_dc
References : ['mag(AC.I_Probe1.i)']
Dependency : [vd_dc,vg_dc]
Num. Points : [51,51]
Matrix Size : scalar
Type : Real","freq
References : ['mag(AC.I_Probe1.i)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","mag(AC.I_Probe1.i)
References : []
Dependency : [vd_dc,vg_dc,freq]
Num. Points : [51,51,51]
Matrix Size : scalar
Type : Real"
vd_dc, vg_dc, freq, ids_ac
0.000,0.000,100.0e3,0.000
0.000,0.000,125.9e3,0.000
0.000,0.000,158.5e3,0.000
0.000,0.000,199.5e3,0.000
0.000,0.000,251.2e3,0.000
0.000,0.000,316.2e3,0.000
0.000,0.000,398.1e3,0.000
0.000,0.000,501.2e3,0.000
0.000,0.000,631.0e3,0.000
0.000,0.000,794.3e3,0.000
0.000,0.000,1.000e6,0.000
0.000,0.000,1.259e6,0.000
0.000,0.000,1.585e6,0.000
0.000,0.000,1.995e6,0.000
0.000,0.000,2.512e6,0.000
0.000,0.000,3.162e6,0.000
0.000,0.000,3.981e6,0.000
0.000,0.000,5.012e6,0.000
0.000,0.000,6.310e6,0.000
0.000,0.000,7.943e6,0.000
0.000,0.000,10.00e6,0.000
0.000,0.000,12.59e6,0.000
0.000,0.000,15.85e6,0.000
0.000,0.000,19.95e6,0.000
0.000,0.000,25.12e6,0.000
0.000,0.000,31.62e6,0.000
0.000,0.000,39.81e6,0.000
0.000,0.000,50.12e6,0.000
0.000,0.000,63.10e6,0.000
0.000,0.000,79.43e6,0.000
0.000,0.000,100.0e6,0.000
0.000,0.000,125.9e6,0.000
0.000,0.000,158.5e6,0.000
0.000,0.000,199.5e6,0.000
0.000,0.000,251.2e6,0.000
0.000,0.000,316.2e6,0.000
0.000,0.000,398.1e6,0.000
0.000,0.000,501.2e6,0.000
0.000,0.000,631.0e6,0.000
0.000,0.000,794.3e6,0.000
0.000,0.000,1.000e9,0.000
0.000,0.000,1.259e9,0.000
0.000,0.000,1.585e9,0.000
0.000,0.000,1.995e9,0.000
0.000,0.000,2.512e9,0.000
0.000,0.000,3.162e9,0.000
0.000,0.000,3.981e9,0.000
0.000,0.000,5.012e9,0.000
0.000,0.000,6.310e9,0.000
0.000,0.000,7.943e9,0.000
0.000,0.000,10.00e9,0.000
0.000,0.100,100.0e3,1.085E-8
0.000,0.100,125.9e3,1.366E-8
0.000,0.100,158.5e3,1.719E-8
0.000,0.100,199.5e3,2.165E-8
0.000,0.100,251.2e3,2.725E-8
0.000,0.100,316.2e3,3.431E-8
