vds_dc, ids_ac
0.000,6.310E-7
0.050,6.207E-7
0.100,6.103E-7
0.150,6.000E-7
0.200,5.897E-7
0.250,5.794E-7
0.300,5.691E-7
0.350,5.588E-7
0.400,5.485E-7
0.450,5.382E-7
0.500,5.278E-7
0.550,5.175E-7
0.600,5.072E-7
0.650,4.969E-7
0.700,4.866E-7
0.750,4.762E-7
0.800,4.659E-7
0.850,4.556E-7
0.900,4.453E-7
0.950,4.349E-7
1.000,4.246E-7
1.050,4.143E-7
1.100,4.039E-7
1.150,3.936E-7
1.200,3.832E-7
1.250,3.729E-7
1.300,3.625E-7
1.350,3.521E-7
1.400,3.418E-7
1.450,3.314E-7
1.500,3.210E-7
1.550,3.106E-7
1.600,3.002E-7
1.650,2.898E-7
1.700,2.794E-7
1.750,2.690E-7
1.800,2.585E-7
1.850,2.481E-7
1.900,2.376E-7
1.950,2.271E-7
2.000,2.166E-7
2.050,2.061E-7
2.100,1.956E-7
2.150,1.850E-7
2.200,1.745E-7
2.250,1.639E-7
2.300,1.533E-7
2.350,1.426E-7
2.400,1.319E-7
2.450,1.212E-7
2.500,1.105E-7
2.550,9.968E-8
2.600,8.885E-8
2.650,7.797E-8
2.700,6.703E-8
2.750,5.604E-8
2.800,4.499E-8
2.850,3.386E-8
2.900,2.266E-8
2.950,1.138E-8
3.000,1.000E-14
3.050,1.000E-14
3.100,1.000E-14
3.150,1.000E-14
3.200,1.000E-14
3.250,1.000E-14
3.300,1.000E-14
3.350,1.000E-14
3.400,1.000E-14
3.450,1.000E-14
3.500,1.000E-14
3.550,1.000E-14
3.600,1.000E-14
3.650,1.000E-14
3.700,1.000E-14
3.750,1.000E-14
3.800,1.000E-14
3.850,1.000E-14
3.900,1.000E-14
3.950,1.000E-14
4.000,1.000E-14
4.050,1.000E-14
4.100,1.000E-14
4.150,1.000E-14
4.200,1.000E-14
4.250,1.000E-14
4.300,1.000E-14
4.350,1.000E-14
4.400,1.000E-14
4.450,1.000E-14
4.500,1.000E-14
4.550,1.000E-14
4.600,1.000E-14
4.650,1.000E-14
4.700,1.000E-14
4.750,1.000E-14
4.800,1.000E-14
4.850,1.000E-14
4.900,1.000E-14
4.950,1.000E-14
5.000,1.000E-14
