vd, vg, freq, Ids
0.000,0.000,0.0000,0.0000
0.000,0.050,0.0000,0.0000
0.000,0.100,0.0000,0.0000
0.000,0.150,0.0000,0.0000
0.000,0.200,0.0000,0.0000
0.000,0.250,0.0000,0.0000
0.000,0.300,0.0000,0.0000
0.000,0.350,0.0000,0.0000
0.000,0.400,0.0000,0.0000
0.000,0.450,0.0000,0.0000
0.000,0.500,0.0000,0.0000
0.000,0.550,0.0000,0.0000
0.000,0.600,0.0000,0.0000
0.000,0.650,0.0000,0.0000
0.000,0.700,0.0000,0.0000
0.000,0.750,0.0000,0.0000
0.000,0.800,0.0000,0.0000
0.000,0.850,0.0000,0.0000
0.000,0.900,0.0000,0.0000
0.000,0.950,0.0000,0.0000
0.000,1.000,0.0000,0.0000
0.000,1.050,0.0000,0.0000
0.000,1.100,0.0000,0.0000
0.000,1.150,0.0000,0.0000
0.000,1.200,0.0000,0.0000
0.000,1.250,0.0000,0.0000
0.000,1.300,0.0000,0.0000
0.000,1.350,0.0000,0.0000
0.000,1.400,0.0000,0.0000
0.000,1.450,0.0000,0.0000
0.000,1.500,0.0000,0.0000
0.000,1.550,0.0000,0.0000
0.000,1.600,0.0000,0.0000
0.000,1.650,0.0000,0.0000
0.000,1.700,0.0000,0.0000
0.000,1.750,0.0000,0.0000
0.000,1.800,0.0000,0.0000
0.000,1.850,0.0000,0.0000
0.000,1.900,0.0000,0.0000
0.000,1.950,0.0000,0.0000
0.000,2.000,0.0000,0.0000
0.000,2.050,0.0000,0.0000
0.000,2.100,0.0000,0.0000
0.000,2.150,0.0000,0.0000
0.000,2.200,0.0000,0.0000
0.000,2.250,0.0000,0.0000
0.000,2.300,0.0000,0.0000
0.000,2.350,0.0000,0.0000
0.000,2.400,0.0000,0.0000
0.000,2.450,0.0000,0.0000
0.000,2.500,0.0000,0.0000
0.000,2.550,0.0000,0.0000
0.000,2.600,0.0000,0.0000
0.000,2.650,0.0000,0.0000
0.000,2.700,0.0000,0.0000
0.000,2.750,0.0000,0.0000
0.000,2.800,0.0000,0.0000
0.000,2.850,0.0000,0.0000
0.000,2.900,0.0000,0.0000
0.000,2.950,0.0000,0.0000
0.000,3.000,0.0000,0.0000
0.000,3.050,0.0000,0.0000
0.000,3.100,0.0000,0.0000
0.000,3.150,0.0000,0.0000
0.000,3.200,0.0000,0.0000
0.000,3.250,0.0000,0.0000
0.000,3.300,0.0000,0.0000
0.000,3.350,0.0000,0.0000
0.000,3.400,0.0000,0.0000
0.000,3.450,0.0000,0.0000
0.000,3.500,0.0000,0.0000
0.000,3.550,0.0000,0.0000
0.000,3.600,0.0000,0.0000
0.000,3.650,0.0000,0.0000
0.000,3.700,0.0000,0.0000
0.000,3.750,0.0000,0.0000
0.000,3.800,0.0000,0.0000
0.000,3.850,0.0000,0.0000
0.000,3.900,0.0000,0.0000
0.000,3.950,0.0000,0.0000
