vd_dc, vg_dc, freq, i_ds (ac)
0.000,0.000,100.0 kHz,2.392E-12
0.000,0.000,125.9 kHz,3.011E-12
0.000,0.000,158.5 kHz,3.790E-12
0.000,0.000,199.5 kHz,4.771E-12
0.000,0.000,251.2 kHz,6.006E-12
0.000,0.000,316.2 kHz,7.560E-12
0.000,0.000,398.1 kHz,9.518E-12
0.000,0.000,501.2 kHz,1.198E-11
0.000,0.000,631.0 kHz,1.508E-11
0.000,0.000,794.3 kHz,1.899E-11
0.000,0.000,1.000 MHz,2.391E-11
0.000,0.000,1.259 MHz,3.010E-11
0.000,0.000,1.585 MHz,3.789E-11
0.000,0.000,1.995 MHz,4.770E-11
0.000,0.000,2.512 MHz,6.005E-11
0.000,0.000,3.162 MHz,7.560E-11
0.000,0.000,3.981 MHz,9.517E-11
0.000,0.000,5.012 MHz,1.198E-10
0.000,0.000,6.310 MHz,1.508E-10
0.000,0.000,7.943 MHz,1.899E-10
0.000,0.000,10.00 MHz,2.391E-10
0.000,0.000,12.59 MHz,3.010E-10
0.000,0.000,15.85 MHz,3.789E-10
0.000,0.000,19.95 MHz,4.770E-10
0.000,0.000,25.12 MHz,6.005E-10
0.000,0.000,31.62 MHz,7.560E-10
0.000,0.000,39.81 MHz,9.517E-10
0.000,0.000,50.12 MHz,1.198E-9
0.000,0.000,63.10 MHz,1.508E-9
0.000,0.000,79.43 MHz,1.899E-9
0.000,0.000,100.0 MHz,2.391E-9
0.000,0.000,125.9 MHz,3.010E-9
0.000,0.000,158.5 MHz,3.789E-9
0.000,0.000,199.5 MHz,4.770E-9
0.000,0.000,251.2 MHz,6.005E-9
0.000,0.000,316.2 MHz,7.560E-9
0.000,0.000,398.1 MHz,9.517E-9
0.000,0.000,501.2 MHz,1.198E-8
0.000,0.000,631.0 MHz,1.508E-8
0.000,0.000,794.3 MHz,1.899E-8
0.000,0.000,1.000 GHz,2.391E-8
0.000,0.000,1.259 GHz,3.010E-8
0.000,0.000,1.585 GHz,3.789E-8
0.000,0.000,1.995 GHz,4.770E-8
0.000,0.000,2.512 GHz,6.005E-8
0.000,0.000,3.162 GHz,7.560E-8
0.000,0.000,3.981 GHz,9.517E-8
0.000,0.000,5.012 GHz,1.198E-7
0.000,0.000,6.310 GHz,1.508E-7
0.000,0.000,7.943 GHz,1.899E-7
0.000,0.000,10.00 GHz,2.391E-7
0.000,0.050,100.0 kHz,2.511E-12
0.000,0.050,125.9 kHz,3.161E-12
0.000,0.050,158.5 kHz,3.979E-12
0.000,0.050,199.5 kHz,5.009E-12
0.000,0.050,251.2 kHz,6.306E-12
0.000,0.050,316.2 kHz,7.939E-12
0.000,0.050,398.1 kHz,9.995E-12
0.000,0.050,501.2 kHz,1.258E-11
0.000,0.050,631.0 kHz,1.584E-11
0.000,0.050,794.3 kHz,1.994E-11
0.000,0.050,1.000 MHz,2.511E-11
0.000,0.050,1.259 MHz,3.161E-11
0.000,0.050,1.585 MHz,3.979E-11
0.000,0.050,1.995 MHz,5.009E-11
0.000,0.050,2.512 MHz,6.306E-11
0.000,0.050,3.162 MHz,7.939E-11
0.000,0.050,3.981 MHz,9.995E-11
0.000,0.050,5.012 MHz,1.258E-10
0.000,0.050,6.310 MHz,1.584E-10
0.000,0.050,7.943 MHz,1.994E-10
0.000,0.050,10.00 MHz,2.511E-10
0.000,0.050,12.59 MHz,3.161E-10
0.000,0.050,15.85 MHz,3.979E-10
0.000,0.050,19.95 MHz,5.009E-10
0.000,0.050,25.12 MHz,6.306E-10
0.000,0.050,31.62 MHz,7.939E-10
0.000,0.050,39.81 MHz,9.995E-10
0.000,0.050,50.12 MHz,1.258E-9
0.000,0.050,63.10 MHz,1.584E-9
0.000,0.050,79.43 MHz,1.994E-9
0.000,0.050,100.0 MHz,2.511E-9
0.000,0.050,125.9 MHz,3.161E-9
0.000,0.050,158.5 MHz,3.979E-9
0.000,0.050,199.5 MHz,5.009E-9
0.000,0.050,251.2 MHz,6.306E-9
0.000,0.050,316.2 MHz,7.939E-9
0.000,0.050,398.1 MHz,9.995E-9
0.000,0.050,501.2 MHz,1.258E-8
0.000,0.050,631.0 MHz,1.584E-8
0.000,0.050,794.3 MHz,1.994E-8
0.000,0.050,1.000 GHz,2.511E-8
0.000,0.050,1.259 GHz,3.161E-8
0.000,0.050,1.585 GHz,3.979E-8
0.000,0.050,1.995 GHz,5.009E-8
0.000,0.050,2.512 GHz,6.306E-8
0.000,0.050,3.162 GHz,7.939E-8
0.000,0.050,3.981 GHz,9.995E-8
0.000,0.050,5.012 GHz,1.258E-7
0.000,0.050,6.310 GHz,1.584E-7
0.000,0.050,7.943 GHz,1.994E-7
