vd, vg, freq, Ids
0.000,0.000,0.0000,0.0000
0.000,0.010,0.0000,-75.84e-15
0.000,0.020,0.0000,-138.4e-15
0.000,0.030,0.0000,-188.6e-15
0.000,0.040,0.0000,-227.0e-15
0.000,0.050,0.0000,-254.5e-15
0.000,0.060,0.0000,-271.7e-15
0.000,0.070,0.0000,-279.3e-15
0.000,0.080,0.0000,-278.0e-15
0.000,0.090,0.0000,-268.4e-15
0.000,0.100,0.0000,-251.1e-15
0.000,0.110,0.0000,-226.8e-15
0.000,0.120,0.0000,-196.2e-15
0.000,0.130,0.0000,-160.2e-15
0.000,0.140,0.0000,-120.2e-15
0.000,0.150,0.0000,-80.53e-15
0.000,0.160,0.0000,-58.08e-15
0.000,0.170,0.0000,-84.60e-15
0.000,0.180,0.0000,-145.3e-15
0.000,0.190,0.0000,-223.3e-15
0.000,0.200,0.0000,-314.9e-15
0.000,0.210,0.0000,-419.5e-15
0.000,0.220,0.0000,-537.6e-15
0.000,0.230,0.0000,-669.6e-15
0.000,0.240,0.0000,-816.2e-15
0.000,0.250,0.0000,-978.2e-15
0.000,0.260,0.0000,-1.156e-12
0.000,0.270,0.0000,-1.352e-12
0.000,0.280,0.0000,-1.565e-12
0.000,0.290,0.0000,-1.797e-12
0.000,0.300,0.0000,-2.049e-12
0.000,0.310,0.0000,-2.322e-12
0.000,0.320,0.0000,-2.617e-12
0.000,0.330,0.0000,-2.935e-12
0.000,0.340,0.0000,-3.278e-12
0.000,0.350,0.0000,-3.648e-12
0.000,0.360,0.0000,-4.045e-12
0.000,0.370,0.0000,-4.471e-12
0.000,0.380,0.0000,-4.930e-12
0.000,0.390,0.0000,-5.424e-12
0.000,0.400,0.0000,-5.955e-12
0.000,0.410,0.0000,-6.530e-12
0.000,0.420,0.0000,-7.153e-12
0.000,0.430,0.0000,-7.833e-12
0.000,0.440,0.0000,-8.580e-12
0.000,0.450,0.0000,-9.408e-12
0.000,0.460,0.0000,-10.34e-12
0.000,0.470,0.0000,-11.38e-12
0.000,0.480,0.0000,-12.58e-12
0.000,0.490,0.0000,-13.93e-12
0.000,0.500,0.0000,-15.48e-12
0.000,0.510,0.0000,-17.23e-12
0.000,0.520,0.0000,-19.19e-12
0.000,0.530,0.0000,-21.36e-12
0.000,0.540,0.0000,-23.75e-12
0.000,0.550,0.0000,-26.34e-12
0.000,0.560,0.0000,-29.15e-12
0.000,0.570,0.0000,-32.16e-12
0.000,0.580,0.0000,-35.39e-12
0.000,0.590,0.0000,-38.84e-12
0.000,0.600,0.0000,-42.51e-12
0.000,0.610,0.0000,-46.42e-12
0.000,0.620,0.0000,-50.56e-12
0.000,0.630,0.0000,-54.96e-12
0.000,0.640,0.0000,-59.62e-12
0.000,0.650,0.0000,-64.56e-12
0.000,0.660,0.0000,-69.78e-12
0.000,0.670,0.0000,-75.30e-12
0.000,0.680,0.0000,-81.13e-12
0.000,0.690,0.0000,-87.28e-12
0.000,0.700,0.0000,-93.78e-12
0.000,0.710,0.0000,-100.6e-12
0.000,0.720,0.0000,-107.8e-12
0.000,0.730,0.0000,-115.4e-12
0.000,0.740,0.0000,-123.4e-12
0.000,0.750,0.0000,-131.9e-12
0.000,0.760,0.0000,-140.7e-12
0.000,0.770,0.0000,-150.0e-12
0.000,0.780,0.0000,-159.8e-12
0.000,0.790,0.0000,-170.0e-12
0.000,0.800,0.0000,-180.8e-12
0.000,0.810,0.0000,-192.1e-12
0.000,0.820,0.0000,-204.0e-12
0.000,0.830,0.0000,-216.4e-12
0.000,0.840,0.0000,-229.4e-12
0.000,0.850,0.0000,-243.1e-12
0.000,0.860,0.0000,-257.4e-12
0.000,0.870,0.0000,-272.4e-12
0.000,0.880,0.0000,-288.0e-12
0.000,0.890,0.0000,-304.4e-12
0.000,0.900,0.0000,-321.6e-12
0.010,0.000,0.0000,214.6e-12
0.010,0.010,0.0000,277.2e-12
0.010,0.020,0.0000,358.1e-12
0.010,0.030,0.0000,462.6e-12
0.010,0.040,0.0000,597.6e-12
0.010,0.050,0.0000,771.9e-12
0.010,0.060,0.0000,996.9e-12
0.010,0.070,0.0000,1.287e-9
0.010,0.080,0.0000,1.662e-9
0.010,0.090,0.0000,2.145e-9
0.010,0.100,0.0000,2.767e-9
0.010,0.110,0.0000,3.570e-9
0.010,0.120,0.0000,4.603e-9
0.010,0.130,0.0000,5.933e-9
0.010,0.140,0.0000,7.644e-9
0.010,0.150,0.0000,9.844e-9
0.010,0.160,0.0000,12.67e-9
0.010,0.170,0.0000,16.30e-9
0.010,0.180,0.0000,20.95e-9
0.010,0.190,0.0000,26.90e-9
0.010,0.200,0.0000,34.52e-9
0.010,0.210,0.0000,44.25e-9
0.010,0.220,0.0000,56.66e-9
0.010,0.230,0.0000,72.47e-9
0.010,0.240,0.0000,92.54e-9
0.010,0.250,0.0000,118.0e-9
0.010,0.260,0.0000,150.2e-9
0.010,0.270,0.0000,190.8e-9
0.010,0.280,0.0000,241.9e-9
0.010,0.290,0.0000,305.9e-9
0.010,0.300,0.0000,385.7e-9
0.010,0.310,0.0000,485.1e-9
0.010,0.320,0.0000,608.0e-9
0.010,0.330,0.0000,759.4e-9
0.010,0.340,0.0000,944.8e-9
0.010,0.350,0.0000,1.171e-6
0.010,0.360,0.0000,1.443e-6
0.010,0.370,0.0000,1.771e-6
0.010,0.380,0.0000,2.162e-6
0.010,0.390,0.0000,2.623e-6
0.010,0.400,0.0000,3.163e-6
0.010,0.410,0.0000,3.788e-6
0.010,0.420,0.0000,4.506e-6
0.010,0.430,0.0000,5.320e-6
0.010,0.440,0.0000,6.232e-6
0.010,0.450,0.0000,7.242e-6
0.010,0.460,0.0000,8.346e-6
0.010,0.470,0.0000,9.538e-6
0.010,0.480,0.0000,10.81e-6
0.010,0.490,0.0000,12.15e-6
0.010,0.500,0.0000,13.53e-6
0.010,0.510,0.0000,14.96e-6
0.010,0.520,0.0000,16.41e-6
0.010,0.530,0.0000,17.86e-6
0.010,0.540,0.0000,19.31e-6
0.010,0.550,0.0000,20.74e-6
0.010,0.560,0.0000,22.14e-6
0.010,0.570,0.0000,23.51e-6
0.010,0.580,0.0000,24.82e-6
0.010,0.590,0.0000,26.09e-6
0.010,0.600,0.0000,27.30e-6
0.010,0.610,0.0000,28.46e-6
0.010,0.620,0.0000,29.56e-6
0.010,0.630,0.0000,30.60e-6
0.010,0.640,0.0000,31.60e-6
0.010,0.650,0.0000,32.53e-6
0.010,0.660,0.0000,33.42e-6
0.010,0.670,0.0000,34.26e-6
0.010,0.680,0.0000,35.05e-6
0.010,0.690,0.0000,35.79e-6
0.010,0.700,0.0000,36.50e-6
0.010,0.710,0.0000,37.17e-6
0.010,0.720,0.0000,37.80e-6
0.010,0.730,0.0000,38.39e-6
0.010,0.740,0.0000,38.96e-6
0.010,0.750,0.0000,39.50e-6
0.010,0.760,0.0000,40.00e-6
0.010,0.770,0.0000,40.48e-6
0.010,0.780,0.0000,40.94e-6
0.010,0.790,0.0000,41.38e-6
0.010,0.800,0.0000,41.79e-6
0.010,0.810,0.0000,42.18e-6
0.010,0.820,0.0000,42.56e-6
0.010,0.830,0.0000,42.92e-6
0.010,0.840,0.0000,43.26e-6
0.010,0.850,0.0000,43.59e-6
0.010,0.860,0.0000,43.90e-6
0.010,0.870,0.0000,44.20e-6
0.010,0.880,0.0000,44.49e-6
0.010,0.890,0.0000,44.76e-6
0.010,0.900,0.0000,45.02e-6
0.020,0.000,0.0000,384.0e-12
0.020,0.010,0.0000,496.1e-12
0.020,0.020,0.0000,640.8e-12
0.020,0.030,0.0000,827.9e-12
0.020,0.040,0.0000,1.069e-9
0.020,0.050,0.0000,1.381e-9
0.020,0.060,0.0000,1.784e-9
0.020,0.070,0.0000,2.303e-9
0.020,0.080,0.0000,2.973e-9
0.020,0.090,0.0000,3.837e-9
0.020,0.100,0.0000,4.950e-9
0.020,0.110,0.0000,6.385e-9
0.020,0.120,0.0000,8.233e-9
0.020,0.130,0.0000,10.61e-9
0.020,0.140,0.0000,13.67e-9
0.020,0.150,0.0000,17.60e-9
0.020,0.160,0.0000,22.65e-9
0.020,0.170,0.0000,29.14e-9
0.020,0.180,0.0000,37.45e-9
0.020,0.190,0.0000,48.09e-9
0.020,0.200,0.0000,61.70e-9
0.020,0.210,0.0000,79.09e-9
0.020,0.220,0.0000,101.3e-9
0.020,0.230,0.0000,129.5e-9
0.020,0.240,0.0000,165.3e-9
0.020,0.250,0.0000,210.8e-9
0.020,0.260,0.0000,268.3e-9
0.020,0.270,0.0000,340.9e-9
0.020,0.280,0.0000,432.1e-9
0.020,0.290,0.0000,546.5e-9
0.020,0.300,0.0000,689.3e-9
0.020,0.310,0.0000,867.1e-9
0.020,0.320,0.0000,1.087e-6
0.020,0.330,0.0000,1.359e-6
0.020,0.340,0.0000,1.692e-6
0.020,0.350,0.0000,2.099e-6
0.020,0.360,0.0000,2.591e-6
0.020,0.370,0.0000,3.185e-6
0.020,0.380,0.0000,3.895e-6
0.020,0.390,0.0000,4.737e-6
0.020,0.400,0.0000,5.727e-6
0.020,0.410,0.0000,6.881e-6
0.020,0.420,0.0000,8.212e-6
0.020,0.430,0.0000,9.731e-6
0.020,0.440,0.0000,11.45e-6
0.020,0.450,0.0000,13.36e-6
0.020,0.460,0.0000,15.46e-6
0.020,0.470,0.0000,17.74e-6
0.020,0.480,0.0000,20.19e-6
0.020,0.490,0.0000,22.79e-6
0.020,0.500,0.0000,25.50e-6
0.020,0.510,0.0000,28.30e-6
0.020,0.520,0.0000,31.15e-6
0.020,0.530,0.0000,34.03e-6
0.020,0.540,0.0000,36.91e-6
0.020,0.550,0.0000,39.76e-6
0.020,0.560,0.0000,42.56e-6
0.020,0.570,0.0000,45.29e-6
0.020,0.580,0.0000,47.94e-6
0.020,0.590,0.0000,50.49e-6
0.020,0.600,0.0000,52.94e-6
