"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -2.30429451747E+001, +0.00000000000E+000
+1.50621875000E+006, -4.25884948403E+001, +0.00000000000E+000
+2.91243750000E+006, -3.40051928085E+001, +0.00000000000E+000
+4.31865625000E+006, -2.82738715275E+001, +0.00000000000E+000
+5.72487500000E+006, -2.54900088484E+001, +0.00000000000E+000
+7.13109375000E+006, -2.60858895859E+001, +0.00000000000E+000
+8.53731250000E+006, -2.71843762681E+001, +0.00000000000E+000
+9.94353125000E+006, -2.78677433318E+001, +0.00000000000E+000
+1.13497500000E+007, -2.84134009432E+001, +0.00000000000E+000
+1.27559687500E+007, -2.87252623291E+001, +0.00000000000E+000
+1.41621875000E+007, -2.88407865061E+001, +0.00000000000E+000
+1.55684062500E+007, -2.89105427704E+001, +0.00000000000E+000
+1.69746250000E+007, -2.89444540650E+001, +0.00000000000E+000
+1.83808437500E+007, -2.88857062030E+001, +0.00000000000E+000
+1.97870625000E+007, -2.88418706554E+001, +0.00000000000E+000
+2.11932812500E+007, -2.88446122798E+001, +0.00000000000E+000
+2.25995000000E+007, -2.86403829858E+001, +0.00000000000E+000
+2.40057187500E+007, -2.85328553244E+001, +0.00000000000E+000
+2.54119375000E+007, -2.85951976095E+001, +0.00000000000E+000
+2.68181562500E+007, -2.85669430736E+001, +0.00000000000E+000
+2.82243750000E+007, -2.85787690386E+001, +0.00000000000E+000
+2.96305937500E+007, -2.84812706300E+001, +0.00000000000E+000
+3.10368125000E+007, -2.85577763325E+001, +0.00000000000E+000
+3.24430312500E+007, -2.86153760317E+001, +0.00000000000E+000
+3.38492500000E+007, -2.86447681751E+001, +0.00000000000E+000
+3.52554687500E+007, -2.87047926290E+001, +0.00000000000E+000
+3.66616875000E+007, -2.87032432284E+001, +0.00000000000E+000
+3.80679062500E+007, -2.87355514239E+001, +0.00000000000E+000
+3.94741250000E+007, -2.88594845624E+001, +0.00000000000E+000
+4.08803437500E+007, -2.89062224541E+001, +0.00000000000E+000
+4.22865625000E+007, -2.89212041906E+001, +0.00000000000E+000
+4.36927812500E+007, -2.90013433042E+001, +0.00000000000E+000
+4.50990000000E+007, -2.91435640757E+001, +0.00000000000E+000
+4.65052187500E+007, -2.92294183414E+001, +0.00000000000E+000
+4.79114375000E+007, -2.95066028080E+001, +0.00000000000E+000
+4.93176562500E+007, -2.95239811120E+001, +0.00000000000E+000
+5.07238750000E+007, -2.96263072288E+001, +0.00000000000E+000
+5.21300937500E+007, -2.97830299810E+001, +0.00000000000E+000
+5.35363125000E+007, -2.99024071976E+001, +0.00000000000E+000
+5.49425312500E+007, -3.00210040517E+001, +0.00000000000E+000
+5.63487500000E+007, -3.01534165459E+001, +0.00000000000E+000
+5.77549687500E+007, -3.04162659194E+001, +0.00000000000E+000
+5.91611875000E+007, -3.05383851005E+001, +0.00000000000E+000
+6.05674062500E+007, -3.07687072935E+001, +0.00000000000E+000
+6.19736250000E+007, -3.09637001709E+001, +0.00000000000E+000
+6.33798437500E+007, -3.11957039978E+001, +0.00000000000E+000
+6.47860625000E+007, -3.14809614675E+001, +0.00000000000E+000
+6.61922812500E+007, -3.16018594361E+001, +0.00000000000E+000
+6.75985000000E+007, -3.18166374769E+001, +0.00000000000E+000
+6.90047187500E+007, -3.20848298101E+001, +0.00000000000E+000
+7.04109375000E+007, -3.23141379375E+001, +0.00000000000E+000
+7.18171562500E+007, -3.26653124089E+001, +0.00000000000E+000
+7.32233750000E+007, -3.27602543466E+001, +0.00000000000E+000
+7.46295937500E+007, -3.30963780387E+001, +0.00000000000E+000
+7.60358125000E+007, -3.32508215286E+001, +0.00000000000E+000
+7.74420312500E+007, -3.34979167895E+001, +0.00000000000E+000
+7.88482500000E+007, -3.38464128702E+001, +0.00000000000E+000
+8.02544687500E+007, -3.40572913791E+001, +0.00000000000E+000
+8.16606875000E+007, -3.43063482250E+001, +0.00000000000E+000
+8.30669062500E+007, -3.43681207976E+001, +0.00000000000E+000
+8.44731250000E+007, -3.46911610266E+001, +0.00000000000E+000
+8.58793437500E+007, -3.48103048564E+001, +0.00000000000E+000
+8.72855625000E+007, -3.52071365362E+001, +0.00000000000E+000
+8.86917812500E+007, -3.52713478442E+001, +0.00000000000E+000
+9.00980000000E+007, -3.54153641507E+001, +0.00000000000E+000
+9.15042187500E+007, -3.54113148579E+001, +0.00000000000E+000
+9.29104375000E+007, -3.55461948978E+001, +0.00000000000E+000
+9.43166562500E+007, -3.56624005464E+001, +0.00000000000E+000
+9.57228750000E+007, -3.56584385151E+001, +0.00000000000E+000
+9.71290937500E+007, -3.56908867947E+001, +0.00000000000E+000
+9.85353125000E+007, -3.58297150034E+001, +0.00000000000E+000
+9.99415312500E+007, -3.56018235332E+001, +0.00000000000E+000
+1.01347750000E+008, -3.55509392588E+001, +0.00000000000E+000
+1.02753968750E+008, -3.55895772184E+001, +0.00000000000E+000
+1.04160187500E+008, -3.54662057358E+001, +0.00000000000E+000
+1.05566406250E+008, -3.54713501443E+001, +0.00000000000E+000
+1.06972625000E+008, -3.52470621886E+001, +0.00000000000E+000
+1.08378843750E+008, -3.50928345778E+001, +0.00000000000E+000
+1.09785062500E+008, -3.50543530767E+001, +0.00000000000E+000
+1.11191281250E+008, -3.50727541650E+001, +0.00000000000E+000
+1.12597500000E+008, -3.49103769520E+001, +0.00000000000E+000
+1.14003718750E+008, -3.45364775095E+001, +0.00000000000E+000
+1.15409937500E+008, -3.44304231403E+001, +0.00000000000E+000
+1.16816156250E+008, -3.42829845330E+001, +0.00000000000E+000
+1.18222375000E+008, -3.42882697801E+001, +0.00000000000E+000
+1.19628593750E+008, -3.40857238575E+001, +0.00000000000E+000
+1.21034812500E+008, -3.40557561644E+001, +0.00000000000E+000
+1.22441031250E+008, -3.39641964910E+001, +0.00000000000E+000
+1.23847250000E+008, -3.38813447630E+001, +0.00000000000E+000
+1.25253468750E+008, -3.39012372162E+001, +0.00000000000E+000
+1.26659687500E+008, -3.36355254249E+001, +0.00000000000E+000
+1.28065906250E+008, -3.36741826001E+001, +0.00000000000E+000
+1.29472125000E+008, -3.35358921237E+001, +0.00000000000E+000
+1.30878343750E+008, -3.34516721368E+001, +0.00000000000E+000
+1.32284562500E+008, -3.36321933669E+001, +0.00000000000E+000
+1.33690781250E+008, -3.34486712491E+001, +0.00000000000E+000
+1.35097000000E+008, -3.33591067436E+001, +0.00000000000E+000
+1.36503218750E+008, -3.32913903957E+001, +0.00000000000E+000
+1.37909437500E+008, -3.33885621690E+001, +0.00000000000E+000
+1.39315656250E+008, -3.34174386994E+001, +0.00000000000E+000
+1.40721875000E+008, -3.34625631110E+001, +0.00000000000E+000
+1.42128093750E+008, -3.35075718539E+001, +0.00000000000E+000
+1.43534312500E+008, -3.34383797642E+001, +0.00000000000E+000
+1.44940531250E+008, -3.35909987128E+001, +0.00000000000E+000
+1.46346750000E+008, -3.34847559711E+001, +0.00000000000E+000
+1.47752968750E+008, -3.35383380014E+001, +0.00000000000E+000
+1.49159187500E+008, -3.36739850453E+001, +0.00000000000E+000
+1.50565406250E+008, -3.36031080200E+001, +0.00000000000E+000
+1.51971625000E+008, -3.38108264299E+001, +0.00000000000E+000
+1.53377843750E+008, -3.39142398276E+001, +0.00000000000E+000
+1.54784062500E+008, -3.40318216793E+001, +0.00000000000E+000
+1.56190281250E+008, -3.41739372305E+001, +0.00000000000E+000
+1.57596500000E+008, -3.44525291925E+001, +0.00000000000E+000
+1.59002718750E+008, -3.44494712543E+001, +0.00000000000E+000
+1.60408937500E+008, -3.44031539931E+001, +0.00000000000E+000
+1.61815156250E+008, -3.46534149129E+001, +0.00000000000E+000
+1.63221375000E+008, -3.49638389276E+001, +0.00000000000E+000
+1.64627593750E+008, -3.50639515131E+001, +0.00000000000E+000
+1.66033812500E+008, -3.53433225489E+001, +0.00000000000E+000
+1.67440031250E+008, -3.54562294704E+001, +0.00000000000E+000
+1.68846250000E+008, -3.58647896697E+001, +0.00000000000E+000
+1.70252468750E+008, -3.59401335409E+001, +0.00000000000E+000
+1.71658687500E+008, -3.61800116697E+001, +0.00000000000E+000
+1.73064906250E+008, -3.64014933603E+001, +0.00000000000E+000
+1.74471125000E+008, -3.65977052970E+001, +0.00000000000E+000
+1.75877343750E+008, -3.67551551392E+001, +0.00000000000E+000
+1.77283562500E+008, -3.71676062853E+001, +0.00000000000E+000
+1.78689781250E+008, -3.72139489359E+001, +0.00000000000E+000
+1.80096000000E+008, -3.74089435341E+001, +0.00000000000E+000
+1.81502218750E+008, -3.77500267113E+001, +0.00000000000E+000
+1.82908437500E+008, -3.75759875099E+001, +0.00000000000E+000
+1.84314656250E+008, -3.77609354689E+001, +0.00000000000E+000
+1.85720875000E+008, -3.78414234386E+001, +0.00000000000E+000
+1.87127093750E+008, -3.80425413573E+001, +0.00000000000E+000
+1.88533312500E+008, -3.80094747427E+001, +0.00000000000E+000
+1.89939531250E+008, -3.78537881042E+001, +0.00000000000E+000
+1.91345750000E+008, -3.79623427243E+001, +0.00000000000E+000
+1.92751968750E+008, -3.79517486712E+001, +0.00000000000E+000
+1.94158187500E+008, -3.77628010381E+001, +0.00000000000E+000
+1.95564406250E+008, -3.76236104685E+001, +0.00000000000E+000
+1.96970625000E+008, -3.73796051069E+001, +0.00000000000E+000
+1.98376843750E+008, -3.71734400673E+001, +0.00000000000E+000
+1.99783062500E+008, -3.69569725233E+001, +0.00000000000E+000
+2.01189281250E+008, -3.67322829656E+001, +0.00000000000E+000
+2.02595500000E+008, -3.65544502524E+001, +0.00000000000E+000
+2.04001718750E+008, -3.61539597279E+001, +0.00000000000E+000
+2.05407937500E+008, -3.58899296047E+001, +0.00000000000E+000
+2.06814156250E+008, -3.56886214990E+001, +0.00000000000E+000
+2.08220375000E+008, -3.52588783049E+001, +0.00000000000E+000
+2.09626593750E+008, -3.51421867149E+001, +0.00000000000E+000
+2.11032812500E+008, -3.49257930540E+001, +0.00000000000E+000
+2.12439031250E+008, -3.45969680109E+001, +0.00000000000E+000
+2.13845250000E+008, -3.42391554443E+001, +0.00000000000E+000
+2.15251468750E+008, -3.39570843395E+001, +0.00000000000E+000
+2.16657687500E+008, -3.36467300810E+001, +0.00000000000E+000
+2.18063906250E+008, -3.32448471071E+001, +0.00000000000E+000
+2.19470125000E+008, -3.30480841479E+001, +0.00000000000E+000
+2.20876343750E+008, -3.29505006146E+001, +0.00000000000E+000
+2.22282562500E+008, -3.26280441411E+001, +0.00000000000E+000
+2.23688781250E+008, -3.24272035194E+001, +0.00000000000E+000
+2.25095000000E+008, -3.22054108797E+001, +0.00000000000E+000
+2.26501218750E+008, -3.19770630033E+001, +0.00000000000E+000
+2.27907437500E+008, -3.18754819848E+001, +0.00000000000E+000
+2.29313656250E+008, -3.15932574380E+001, +0.00000000000E+000
+2.30719875000E+008, -3.14846898679E+001, +0.00000000000E+000
+2.32126093750E+008, -3.13791014193E+001, +0.00000000000E+000
+2.33532312500E+008, -3.11385707905E+001, +0.00000000000E+000
