"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -1.74781942154E-002, +0.00000000000E+000
+1.50621875000E+006, -2.70919449288E-002, +0.00000000000E+000
+2.91243750000E+006, +1.36767684350E-002, +0.00000000000E+000
+4.31865625000E+006, +1.28612922246E-002, +0.00000000000E+000
+5.72487500000E+006, +2.24558780475E-002, +0.00000000000E+000
+7.13109375000E+006, -1.11188211858E-003, +0.00000000000E+000
+8.53731250000E+006, +3.76413388867E-003, +0.00000000000E+000
+9.94353125000E+006, -1.51717690949E-003, +0.00000000000E+000
+1.13497500000E+007, +1.17548952546E-002, +0.00000000000E+000
+1.27559687500E+007, -1.19822905896E-003, +0.00000000000E+000
+1.41621875000E+007, +2.25353628370E-004, +0.00000000000E+000
+1.55684062500E+007, +1.09766545826E-002, +0.00000000000E+000
+1.69746250000E+007, +2.07193783924E-002, +0.00000000000E+000
+1.83808437500E+007, -1.15863422827E-002, +0.00000000000E+000
+1.97870625000E+007, +9.11785159478E-003, +0.00000000000E+000
+2.11932812500E+007, +8.38802222714E-003, +0.00000000000E+000
+2.25995000000E+007, +1.08667635081E-002, +0.00000000000E+000
+2.40057187500E+007, -3.79042502287E-003, +0.00000000000E+000
+2.54119375000E+007, -2.36602348761E-003, +0.00000000000E+000
+2.68181562500E+007, -7.54895266140E-003, +0.00000000000E+000
+2.82243750000E+007, -1.07330504211E-002, +0.00000000000E+000
+2.96305937500E+007, +1.80315015425E-002, +0.00000000000E+000
+3.10368125000E+007, -1.10901754887E-002, +0.00000000000E+000
+3.24430312500E+007, +7.70149777839E-003, +0.00000000000E+000
+3.38492500000E+007, +2.99877353212E-002, +0.00000000000E+000
+3.52554687500E+007, -1.01741347561E-002, +0.00000000000E+000
+3.66616875000E+007, +1.58611703783E-002, +0.00000000000E+000
+3.80679062500E+007, -9.60364899869E-003, +0.00000000000E+000
+3.94741250000E+007, -2.70704257603E-003, +0.00000000000E+000
+4.08803437500E+007, +8.13980549325E-003, +0.00000000000E+000
+4.22865625000E+007, +4.08755079336E-004, +0.00000000000E+000
+4.36927812500E+007, +4.68339881538E-003, +0.00000000000E+000
+4.50990000000E+007, -5.42490214156E-003, +0.00000000000E+000
+4.65052187500E+007, +3.18138453540E-002, +0.00000000000E+000
+4.79114375000E+007, +1.65602178762E-002, +0.00000000000E+000
+4.93176562500E+007, +4.19805032502E-003, +0.00000000000E+000
+5.07238750000E+007, +1.61656880535E-002, +0.00000000000E+000
+5.21300937500E+007, +1.01837947988E-002, +0.00000000000E+000
+5.35363125000E+007, +7.13818146076E-003, +0.00000000000E+000
+5.49425312500E+007, -8.52994664485E-003, +0.00000000000E+000
+5.63487500000E+007, +7.80280934795E-003, +0.00000000000E+000
+5.77549687500E+007, +9.45740303187E-003, +0.00000000000E+000
+5.91611875000E+007, -2.07996190257E-003, +0.00000000000E+000
+6.05674062500E+007, +3.15561840376E-003, +0.00000000000E+000
+6.19736250000E+007, +2.38301604885E-003, +0.00000000000E+000
+6.33798437500E+007, +4.61955974268E-003, +0.00000000000E+000
+6.47860625000E+007, +2.90380585693E-003, +0.00000000000E+000
+6.61922812500E+007, -6.23133952883E-003, +0.00000000000E+000
+6.75985000000E+007, +1.56886625691E-002, +0.00000000000E+000
+6.90047187500E+007, -6.70835131704E-003, +0.00000000000E+000
+7.04109375000E+007, +5.32806265392E-003, +0.00000000000E+000
+7.18171562500E+007, -5.20859355422E-003, +0.00000000000E+000
+7.32233750000E+007, +3.69554047199E-003, +0.00000000000E+000
+7.46295937500E+007, +3.24055582179E-003, +0.00000000000E+000
+7.60358125000E+007, +2.05184239085E-002, +0.00000000000E+000
+7.74420312500E+007, +1.07169008379E-002, +0.00000000000E+000
+7.88482500000E+007, +1.37742819553E-002, +0.00000000000E+000
+8.02544687500E+007, +6.65244526586E-003, +0.00000000000E+000
+8.16606875000E+007, +5.82367790915E-003, +0.00000000000E+000
+8.30669062500E+007, +8.77777195727E-003, +0.00000000000E+000
+8.44731250000E+007, -1.61619884001E-002, +0.00000000000E+000
+8.58793437500E+007, -9.61398945331E-003, +0.00000000000E+000
+8.72855625000E+007, +6.15023763297E-003, +0.00000000000E+000
+8.86917812500E+007, -1.42090093224E-003, +0.00000000000E+000
+9.00980000000E+007, +5.09879142880E-003, +0.00000000000E+000
+9.15042187500E+007, +1.24385745239E-002, +0.00000000000E+000
+9.29104375000E+007, -1.43776131620E-002, +0.00000000000E+000
+9.43166562500E+007, -8.61898811376E-003, +0.00000000000E+000
+9.57228750000E+007, +1.17984063764E-002, +0.00000000000E+000
+9.71290937500E+007, -7.99086059269E-003, +0.00000000000E+000
+9.85353125000E+007, +6.82381974355E-003, +0.00000000000E+000
+9.99415312500E+007, -1.39536685835E-002, +0.00000000000E+000
+1.01347750000E+008, -4.00319539855E-003, +0.00000000000E+000
+1.02753968750E+008, -3.77261206425E-004, +0.00000000000E+000
+1.04160187500E+008, -1.19145449287E-003, +0.00000000000E+000
+1.05566406250E+008, -4.72526210192E-003, +0.00000000000E+000
+1.06972625000E+008, +1.89865856145E-002, +0.00000000000E+000
+1.08378843750E+008, +1.79989724331E-003, +0.00000000000E+000
+1.09785062500E+008, -5.43325964061E-004, +0.00000000000E+000
+1.11191281250E+008, +5.07402839950E-003, +0.00000000000E+000
+1.12597500000E+008, +9.32959105097E-003, +0.00000000000E+000
+1.14003718750E+008, +7.29130077031E-003, +0.00000000000E+000
+1.15409937500E+008, -1.18462357882E-002, +0.00000000000E+000
+1.16816156250E+008, +7.88655456620E-003, +0.00000000000E+000
+1.18222375000E+008, +4.33691296807E-003, +0.00000000000E+000
+1.19628593750E+008, +9.94161306007E-003, +0.00000000000E+000
+1.21034812500E+008, -8.94446510543E-003, +0.00000000000E+000
+1.22441031250E+008, -1.07489938885E-002, +0.00000000000E+000
+1.23847250000E+008, +4.45959416302E-003, +0.00000000000E+000
+1.25253468750E+008, -1.12139014051E-003, +0.00000000000E+000
+1.26659687500E+008, +2.14639348203E-003, +0.00000000000E+000
+1.28065906250E+008, +8.60816127426E-003, +0.00000000000E+000
+1.29472125000E+008, +5.10980934817E-003, +0.00000000000E+000
+1.30878343750E+008, -2.16741971941E-003, +0.00000000000E+000
+1.32284562500E+008, +4.38963209818E-003, +0.00000000000E+000
+1.33690781250E+008, -4.00196686819E-004, +0.00000000000E+000
+1.35097000000E+008, +6.80027785310E-003, +0.00000000000E+000
+1.36503218750E+008, +1.56793094842E-002, +0.00000000000E+000
+1.37909437500E+008, +8.11021776722E-004, +0.00000000000E+000
+1.39315656250E+008, -2.76369676352E-003, +0.00000000000E+000
+1.40721875000E+008, +1.96256810398E-002, +0.00000000000E+000
+1.42128093750E+008, +2.79625466365E-003, +0.00000000000E+000
+1.43534312500E+008, +1.34775787373E-002, +0.00000000000E+000
+1.44940531250E+008, +3.50836531731E-002, +0.00000000000E+000
+1.46346750000E+008, +1.75532422889E-002, +0.00000000000E+000
+1.47752968750E+008, -1.65602680685E-002, +0.00000000000E+000
+1.49159187500E+008, -4.28390168623E-003, +0.00000000000E+000
+1.50565406250E+008, +1.76951230183E-002, +0.00000000000E+000
+1.51971625000E+008, -5.60795218482E-003, +0.00000000000E+000
+1.53377843750E+008, +1.37052169860E-002, +0.00000000000E+000
+1.54784062500E+008, +8.75678537705E-003, +0.00000000000E+000
+1.56190281250E+008, +9.85019771635E-003, +0.00000000000E+000
+1.57596500000E+008, +4.78716662656E-003, +0.00000000000E+000
+1.59002718750E+008, +5.29253081572E-003, +0.00000000000E+000
+1.60408937500E+008, +1.77394243719E-002, +0.00000000000E+000
+1.61815156250E+008, +5.70581873511E-003, +0.00000000000E+000
+1.63221375000E+008, -4.69110313432E-003, +0.00000000000E+000
+1.64627593750E+008, -1.81892699695E-003, +0.00000000000E+000
+1.66033812500E+008, -4.97069877338E-003, +0.00000000000E+000
+1.67440031250E+008, +5.19932114043E-003, +0.00000000000E+000
+1.68846250000E+008, +1.40467542623E-002, +0.00000000000E+000
+1.70252468750E+008, +2.47450857282E-004, +0.00000000000E+000
+1.71658687500E+008, +5.64916670760E-003, +0.00000000000E+000
+1.73064906250E+008, +5.93612159277E-003, +0.00000000000E+000
+1.74471125000E+008, -3.43970127700E-003, +0.00000000000E+000
+1.75877343750E+008, +3.85273835697E-003, +0.00000000000E+000
+1.77283562500E+008, +8.10687631186E-003, +0.00000000000E+000
+1.78689781250E+008, -5.55819549205E-003, +0.00000000000E+000
+1.80096000000E+008, +1.45744420438E-003, +0.00000000000E+000
+1.81502218750E+008, -7.74898235399E-004, +0.00000000000E+000
+1.82908437500E+008, -3.84115464919E-004, +0.00000000000E+000
+1.84314656250E+008, -5.23429289330E-003, +0.00000000000E+000
+1.85720875000E+008, +5.71728866670E-003, +0.00000000000E+000
+1.87127093750E+008, -2.15553063087E-003, +0.00000000000E+000
+1.88533312500E+008, +5.04652144550E-003, +0.00000000000E+000
+1.89939531250E+008, +1.59062358736E-003, +0.00000000000E+000
+1.91345750000E+008, -2.88160884278E-003, +0.00000000000E+000
+1.92751968750E+008, +3.26812652463E-003, +0.00000000000E+000
+1.94158187500E+008, +2.15213221551E-003, +0.00000000000E+000
+1.95564406250E+008, +3.09934631575E-003, +0.00000000000E+000
+1.96970625000E+008, +6.07046806351E-003, +0.00000000000E+000
+1.98376843750E+008, +1.28064026916E-003, +0.00000000000E+000
+1.99783062500E+008, +1.08702475129E-002, +0.00000000000E+000
+2.01189281250E+008, +1.32098662462E-002, +0.00000000000E+000
+2.02595500000E+008, +1.11867577879E-003, +0.00000000000E+000
+2.04001718750E+008, +5.70923806561E-004, +0.00000000000E+000
+2.05407937500E+008, +4.16869358229E-003, +0.00000000000E+000
+2.06814156250E+008, +1.36123786127E-003, +0.00000000000E+000
+2.08220375000E+008, +2.19257056039E-003, +0.00000000000E+000
+2.09626593750E+008, -1.73782595763E-002, +0.00000000000E+000
+2.11032812500E+008, +5.42694241691E-003, +0.00000000000E+000
+2.12439031250E+008, -8.11021140224E-004, +0.00000000000E+000
+2.13845250000E+008, +1.16821017511E-002, +0.00000000000E+000
+2.15251468750E+008, -5.17781519576E-004, +0.00000000000E+000
+2.16657687500E+008, -1.31961250003E-004, +0.00000000000E+000
+2.18063906250E+008, +2.35666253923E-002, +0.00000000000E+000
+2.19470125000E+008, +5.23908004052E-003, +0.00000000000E+000
+2.20876343750E+008, -8.60970304517E-003, +0.00000000000E+000
+2.22282562500E+008, +1.05046300082E-002, +0.00000000000E+000
+2.23688781250E+008, -1.09052073416E-002, +0.00000000000E+000
+2.25095000000E+008, +3.88419830827E-003, +0.00000000000E+000
+2.26501218750E+008, -1.99900474296E-002, +0.00000000000E+000
+2.27907437500E+008, -2.16156182205E-005, +0.00000000000E+000
+2.29313656250E+008, +1.93919220184E-002, +0.00000000000E+000
+2.30719875000E+008, +1.80052652765E-005, +0.00000000000E+000
+2.32126093750E+008, +5.42215157700E-003, +0.00000000000E+000
+2.33532312500E+008, +3.70458423616E-003, +0.00000000000E+000
+2.34938531250E+008, +1.67829649094E-003, +0.00000000000E+000
+2.36344750000E+008, +8.20122748891E-003, +0.00000000000E+000
+2.37750968750E+008, -4.85353716652E-003, +0.00000000000E+000
+2.39157187500E+008, +2.47741696901E-002, +0.00000000000E+000
+2.40563406250E+008, +4.50465299952E-004, +0.00000000000E+000
+2.41969625000E+008, -8.94081269816E-003, +0.00000000000E+000
+2.43375843750E+008, +1.08563340764E-002, +0.00000000000E+000
+2.44782062500E+008, +5.36412539359E-003, +0.00000000000E+000
+2.46188281250E+008, +1.50916622614E-003, +0.00000000000E+000
+2.47594500000E+008, +2.26456506088E-002, +0.00000000000E+000
+2.49000718750E+008, -9.79059799558E-003, +0.00000000000E+000
+2.50406937500E+008, -1.97611082799E-002, +0.00000000000E+000
+2.51813156250E+008, +1.23877612026E-003, +0.00000000000E+000
+2.53219375000E+008, +5.29863346582E-003, +0.00000000000E+000
+2.54625593750E+008, -3.08314275070E-003, +0.00000000000E+000
+2.56031812500E+008, +3.60187170901E-003, +0.00000000000E+000
+2.57438031250E+008, +1.39576606832E-002, +0.00000000000E+000
+2.58844250000E+008, +3.52586233036E-003, +0.00000000000E+000
+2.60250468750E+008, +7.80873287745E-003, +0.00000000000E+000
+2.61656687500E+008, +3.39400903745E-003, +0.00000000000E+000
+2.63062906250E+008, +1.09219583544E-002, +0.00000000000E+000
+2.64469125000E+008, -5.93513433632E-003, +0.00000000000E+000
+2.65875343750E+008, -3.09418990767E-003, +0.00000000000E+000
+2.67281562500E+008, +3.01868527951E-003, +0.00000000000E+000
+2.68687781250E+008, -1.22669538874E-002, +0.00000000000E+000
+2.70094000000E+008, +9.32298730516E-003, +0.00000000000E+000
+2.71500218750E+008, +3.44717962885E-003, +0.00000000000E+000
+2.72906437500E+008, +9.16359955087E-003, +0.00000000000E+000
+2.74312656250E+008, +6.23261994581E-003, +0.00000000000E+000
+2.75718875000E+008, +2.70396887291E-003, +0.00000000000E+000
+2.77125093750E+008, +5.52726050108E-003, +0.00000000000E+000
+2.78531312500E+008, -8.44408067717E-004, +0.00000000000E+000
+2.79937531250E+008, -3.75769958894E-004, +0.00000000000E+000
+2.81343750000E+008, -4.18278557296E-003, +0.00000000000E+000
+2.82749968750E+008, -8.33447188401E-003, +0.00000000000E+000
+2.84156187500E+008, -1.00683648855E-002, +0.00000000000E+000
+2.85562406250E+008, -9.78047073965E-003, +0.00000000000E+000
+2.86968625000E+008, -5.16074531931E-003, +0.00000000000E+000
+2.88374843750E+008, +8.83192572630E-003, +0.00000000000E+000
+2.89781062500E+008, -3.84030291882E-003, +0.00000000000E+000
+2.91187281250E+008, +1.22665075192E-003, +0.00000000000E+000
+2.92593500000E+008, +2.50215265728E-003, +0.00000000000E+000
+2.93999718750E+008, -1.19946313666E-002, +0.00000000000E+000
+2.95405937500E+008, -1.28592335549E-002, +0.00000000000E+000
+2.96812156250E+008, +7.80095658784E-003, +0.00000000000E+000
+2.98218375000E+008, +1.28903292943E-002, +0.00000000000E+000
+2.99624593750E+008, +1.03337258456E-002, +0.00000000000E+000
+3.01030812500E+008, -5.03583051990E-003, +0.00000000000E+000
+3.02437031250E+008, +4.54678312466E-003, +0.00000000000E+000
+3.03843250000E+008, +1.74289614780E-003, +0.00000000000E+000
+3.05249468750E+008, -1.96098240985E-003, +0.00000000000E+000
+3.06655687500E+008, +7.71928025424E-003, +0.00000000000E+000
+3.08061906250E+008, +6.08801471685E-003, +0.00000000000E+000
+3.09468125000E+008, -6.98616038450E-003, +0.00000000000E+000
+3.10874343750E+008, -5.03870875987E-003, +0.00000000000E+000
+3.12280562500E+008, +2.32888377841E-002, +0.00000000000E+000
+3.13686781250E+008, -7.20657311371E-003, +0.00000000000E+000
+3.15093000000E+008, -5.48508850818E-003, +0.00000000000E+000
+3.16499218750E+008, +1.46038225548E-002, +0.00000000000E+000
+3.17905437500E+008, +1.22535221037E-002, +0.00000000000E+000
+3.19311656250E+008, +5.92846906059E-003, +0.00000000000E+000
+3.20717875000E+008, -1.26302298538E-003, +0.00000000000E+000
+3.22124093750E+008, -2.17679374756E-003, +0.00000000000E+000
+3.23530312500E+008, +8.55519770193E-003, +0.00000000000E+000
+3.24936531250E+008, +1.30325341617E-003, +0.00000000000E+000
+3.26342750000E+008, +3.22009918650E-002, +0.00000000000E+000
+3.27748968750E+008, -1.10194094983E-003, +0.00000000000E+000
+3.29155187500E+008, +8.77292616002E-003, +0.00000000000E+000
+3.30561406250E+008, +7.12702138427E-003, +0.00000000000E+000
+3.31967625000E+008, +1.83731531471E-002, +0.00000000000E+000
+3.33373843750E+008, -3.03965231052E-003, +0.00000000000E+000
+3.34780062500E+008, -3.03711891697E-003, +0.00000000000E+000
+3.36186281250E+008, -1.61550435279E-002, +0.00000000000E+000
+3.37592500000E+008, -1.54392380841E-003, +0.00000000000E+000
+3.38998718750E+008, +8.05148340842E-004, +0.00000000000E+000
+3.40404937500E+008, +1.42669408507E-002, +0.00000000000E+000
+3.41811156250E+008, -8.12578661811E-003, +0.00000000000E+000
+3.43217375000E+008, -9.11003949538E-003, +0.00000000000E+000
+3.44623593750E+008, +4.88715536653E-003, +0.00000000000E+000
+3.46029812500E+008, +2.09820530022E-002, +0.00000000000E+000
+3.47436031250E+008, -2.38701893246E-003, +0.00000000000E+000
+3.48842250000E+008, +4.74835100663E-003, +0.00000000000E+000
+3.50248468750E+008, -5.07886286434E-003, +0.00000000000E+000
+3.51654687500E+008, +8.55732012468E-003, +0.00000000000E+000
+3.53060906250E+008, +2.02864034230E-002, +0.00000000000E+000
+3.54467125000E+008, -5.79485288161E-003, +0.00000000000E+000
+3.55873343750E+008, +4.35860930411E-003, +0.00000000000E+000
+3.57279562500E+008, +1.01783198050E-002, +0.00000000000E+000
+3.58685781250E+008, -8.42006742202E-003, +0.00000000000E+000
+3.60092000000E+008, -2.55106751558E-003, +0.00000000000E+000
+3.61498218750E+008, +9.65631317491E-003, +0.00000000000E+000
+3.62904437500E+008, -7.60267224898E-003, +0.00000000000E+000
