"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -1.48627765879E-002, +0.00000000000E+000
+1.50621875000E+006, -5.51456071752E-003, +0.00000000000E+000
+2.91243750000E+006, -2.32456395848E-002, +0.00000000000E+000
+4.31865625000E+006, -3.25405114500E-002, +0.00000000000E+000
+5.72487500000E+006, +2.15193881857E-002, +0.00000000000E+000
+7.13109375000E+006, +8.52151189583E-003, +0.00000000000E+000
+8.53731250000E+006, +2.24661440261E-002, +0.00000000000E+000
+9.94353125000E+006, -8.34117983492E-003, +0.00000000000E+000
+1.13497500000E+007, +3.00564006990E-003, +0.00000000000E+000
+1.27559687500E+007, -8.24685689458E-003, +0.00000000000E+000
+1.41621875000E+007, -1.15883191359E-002, +0.00000000000E+000
+1.55684062500E+007, -5.17304924578E-003, +0.00000000000E+000
+1.69746250000E+007, -5.97223557418E-004, +0.00000000000E+000
+1.83808437500E+007, -3.11574754526E-002, +0.00000000000E+000
+1.97870625000E+007, -1.99274547817E-002, +0.00000000000E+000
+2.11932812500E+007, -6.67264326138E-003, +0.00000000000E+000
+2.25995000000E+007, -6.74507047947E-003, +0.00000000000E+000
+2.40057187500E+007, -1.70945619722E-002, +0.00000000000E+000
+2.54119375000E+007, -8.00583307234E-003, +0.00000000000E+000
+2.68181562500E+007, -2.20874451865E-002, +0.00000000000E+000
+2.82243750000E+007, -2.65268703143E-002, +0.00000000000E+000
+2.96305937500E+007, -6.42554722922E-003, +0.00000000000E+000
+3.10368125000E+007, -2.29310907388E-002, +0.00000000000E+000
+3.24430312500E+007, -1.11939493646E-002, +0.00000000000E+000
+3.38492500000E+007, +5.46275529793E-003, +0.00000000000E+000
+3.52554687500E+007, -1.35336091032E-003, +0.00000000000E+000
+3.66616875000E+007, -3.79041337451E-004, +0.00000000000E+000
+3.80679062500E+007, -6.52722537228E-003, +0.00000000000E+000
+3.94741250000E+007, -1.25597945799E-002, +0.00000000000E+000
+4.08803437500E+007, -2.09325259759E-002, +0.00000000000E+000
+4.22865625000E+007, -6.08775295308E-003, +0.00000000000E+000
+4.36927812500E+007, +4.55594028805E-003, +0.00000000000E+000
+4.50990000000E+007, -1.17883573658E-002, +0.00000000000E+000
+4.65052187500E+007, -3.49524746794E-003, +0.00000000000E+000
+4.79114375000E+007, -8.35617133585E-003, +0.00000000000E+000
+4.93176562500E+007, -6.23494685429E-003, +0.00000000000E+000
+5.07238750000E+007, -1.67686610314E-002, +0.00000000000E+000
+5.21300937500E+007, -6.51762274496E-003, +0.00000000000E+000
+5.35363125000E+007, -2.66592014259E-003, +0.00000000000E+000
+5.49425312500E+007, -8.72150913975E-003, +0.00000000000E+000
+5.63487500000E+007, +7.84568940758E-003, +0.00000000000E+000
+5.77549687500E+007, -1.54117420124E-002, +0.00000000000E+000
+5.91611875000E+007, -3.36483643425E-003, +0.00000000000E+000
+6.05674062500E+007, -2.28888131568E-002, +0.00000000000E+000
+6.19736250000E+007, -7.42268155620E-003, +0.00000000000E+000
+6.33798437500E+007, -2.09253657319E-002, +0.00000000000E+000
+6.47860625000E+007, -4.70374927289E-003, +0.00000000000E+000
+6.61922812500E+007, -2.08294398524E-002, +0.00000000000E+000
+6.75985000000E+007, -8.03817293285E-003, +0.00000000000E+000
+6.90047187500E+007, -2.06617546088E-002, +0.00000000000E+000
+7.04109375000E+007, -1.91568774922E-002, +0.00000000000E+000
+7.18171562500E+007, -1.03515760885E-002, +0.00000000000E+000
