"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -5.86984531636E+001, +0.00000000000E+000
+2.25995000000E+007, -6.79669468433E+001, +0.00000000000E+000
+4.50990000000E+007, -6.55055332608E+001, +0.00000000000E+000
+6.75985000000E+007, -6.03930673714E+001, +0.00000000000E+000
+9.00980000000E+007, -6.24367343521E+001, +0.00000000000E+000
+1.12597500000E+008, -6.44995085799E+001, +0.00000000000E+000
+1.35097000000E+008, -6.00022647303E+001, +0.00000000000E+000
+1.57596500000E+008, -5.92711483784E+001, +0.00000000000E+000
+1.80096000000E+008, -5.92814422746E+001, +0.00000000000E+000
+2.02595500000E+008, -5.67069421963E+001, +0.00000000000E+000
+2.25095000000E+008, -5.67313708605E+001, +0.00000000000E+000
+2.47594500000E+008, -6.13796988790E+001, +0.00000000000E+000
+2.70094000000E+008, -6.09976863184E+001, +0.00000000000E+000
+2.92593500000E+008, -5.92122391891E+001, +0.00000000000E+000
+3.15093000000E+008, -5.67448955472E+001, +0.00000000000E+000
+3.37592500000E+008, -5.71385323919E+001, +0.00000000000E+000
+3.60092000000E+008, -5.73741197117E+001, +0.00000000000E+000
+3.82591500000E+008, -5.94197782037E+001, +0.00000000000E+000
+4.05091000000E+008, -5.60307782135E+001, +0.00000000000E+000
+4.27590500000E+008, -5.43642472712E+001, +0.00000000000E+000
+4.50090000000E+008, -5.73903538012E+001, +0.00000000000E+000
+4.72589500000E+008, -5.83319828065E+001, +0.00000000000E+000
+4.95089000000E+008, -6.10265448002E+001, +0.00000000000E+000
+5.17588500000E+008, -5.82108167418E+001, +0.00000000000E+000
+5.40088000000E+008, -5.74124532085E+001, +0.00000000000E+000
+5.62587500000E+008, -5.44585158163E+001, +0.00000000000E+000
+5.85087000000E+008, -5.92134643221E+001, +0.00000000000E+000
+6.07586500000E+008, -5.54326328767E+001, +0.00000000000E+000
+6.30086000000E+008, -5.37186830142E+001, +0.00000000000E+000
+6.52585500000E+008, -5.71134456485E+001, +0.00000000000E+000
+6.75085000000E+008, -5.72701569256E+001, +0.00000000000E+000
+6.97584500000E+008, -5.62591294270E+001, +0.00000000000E+000
+7.20084000000E+008, -5.68426459593E+001, +0.00000000000E+000
+7.42583500000E+008, -5.80647863352E+001, +0.00000000000E+000
+7.65083000000E+008, -5.80331709815E+001, +0.00000000000E+000
+7.87582500000E+008, -5.82754479484E+001, +0.00000000000E+000
+8.10082000000E+008, -5.69973254917E+001, +0.00000000000E+000
+8.32581500000E+008, -5.72742845133E+001, +0.00000000000E+000
+8.55081000000E+008, -5.76716634419E+001, +0.00000000000E+000
+8.77580500000E+008, -5.80029955237E+001, +0.00000000000E+000
+9.00080000000E+008, -5.63373677653E+001, +0.00000000000E+000
+9.22579500000E+008, -5.21105555485E+001, +0.00000000000E+000
+9.45079000000E+008, -5.57475250448E+001, +0.00000000000E+000
+9.67578500000E+008, -5.69591721105E+001, +0.00000000000E+000
+9.90078000000E+008, -5.48383246757E+001, +0.00000000000E+000
+1.01257750000E+009, -5.61095452959E+001, +0.00000000000E+000
+1.03507700000E+009, -5.73638318084E+001, +0.00000000000E+000
+1.05757650000E+009, -5.39164664970E+001, +0.00000000000E+000
+1.08007600000E+009, -5.67080396109E+001, +0.00000000000E+000
+1.10257550000E+009, -5.63046753484E+001, +0.00000000000E+000
+1.12507500000E+009, -5.62562489649E+001, +0.00000000000E+000
+1.14757450000E+009, -5.58676486679E+001, +0.00000000000E+000
+1.17007400000E+009, -5.46864084093E+001, +0.00000000000E+000
+1.19257350000E+009, -5.38341324992E+001, +0.00000000000E+000
+1.21507300000E+009, -5.30906142880E+001, +0.00000000000E+000
+1.23757250000E+009, -5.43357980457E+001, +0.00000000000E+000
+1.26007200000E+009, -5.36623335222E+001, +0.00000000000E+000
+1.28257150000E+009, -5.34815271170E+001, +0.00000000000E+000
+1.30507100000E+009, -5.44148872160E+001, +0.00000000000E+000
+1.32757050000E+009, -5.81401016701E+001, +0.00000000000E+000
+1.35007000000E+009, -5.44060396789E+001, +0.00000000000E+000
+1.37256950000E+009, -5.44637382594E+001, +0.00000000000E+000
+1.39506900000E+009, -5.37407355596E+001, +0.00000000000E+000
+1.41756850000E+009, -5.36702384877E+001, +0.00000000000E+000
+1.44006800000E+009, -5.48261047287E+001, +0.00000000000E+000
+1.46256750000E+009, -5.33940254447E+001, +0.00000000000E+000
+1.48506700000E+009, -5.45272163785E+001, +0.00000000000E+000
+1.50756650000E+009, -5.28385781919E+001, +0.00000000000E+000
+1.53006600000E+009, -5.55620377080E+001, +0.00000000000E+000
+1.55256550000E+009, -5.41759117991E+001, +0.00000000000E+000
+1.57506500000E+009, -5.39075265761E+001, +0.00000000000E+000
+1.59756450000E+009, -5.67718390782E+001, +0.00000000000E+000
+1.62006400000E+009, -5.63208928236E+001, +0.00000000000E+000
+1.64256350000E+009, -5.64183692235E+001, +0.00000000000E+000
+1.66506300000E+009, -5.36632811126E+001, +0.00000000000E+000
+1.68756250000E+009, -5.40415701403E+001, +0.00000000000E+000
+1.71006200000E+009, -5.51670045050E+001, +0.00000000000E+000
+1.73256150000E+009, -5.54868777958E+001, +0.00000000000E+000
+1.75506100000E+009, -5.48984980030E+001, +0.00000000000E+000
+1.77756050000E+009, -5.41542360650E+001, +0.00000000000E+000
+1.80006000000E+009, -5.77357503009E+001, +0.00000000000E+000
+1.82255950000E+009, -5.39519934218E+001, +0.00000000000E+000
+1.84505900000E+009, -5.38748516211E+001, +0.00000000000E+000
