"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -5.93568135313E+001, +0.00000000000E+000
+2.25995000000E+007, -7.45151945575E+001, +0.00000000000E+000
+4.50990000000E+007, -5.70680432976E+001, +0.00000000000E+000
+6.75985000000E+007, -5.02119398409E+001, +0.00000000000E+000
+9.00980000000E+007, -4.67756454998E+001, +0.00000000000E+000
+1.12597500000E+008, -4.75500862376E+001, +0.00000000000E+000
+1.35097000000E+008, -4.84922553581E+001, +0.00000000000E+000
+1.57596500000E+008, -4.83557005101E+001, +0.00000000000E+000
+1.80096000000E+008, -4.80057398608E+001, +0.00000000000E+000
+2.02595500000E+008, -4.68553342568E+001, +0.00000000000E+000
+2.25095000000E+008, -4.70213427647E+001, +0.00000000000E+000
+2.47594500000E+008, -4.59733235388E+001, +0.00000000000E+000
+2.70094000000E+008, -4.62040946228E+001, +0.00000000000E+000
+2.92593500000E+008, -4.63197076230E+001, +0.00000000000E+000
+3.15093000000E+008, -4.58013060322E+001, +0.00000000000E+000
+3.37592500000E+008, -4.47397003631E+001, +0.00000000000E+000
+3.60092000000E+008, -4.45149920219E+001, +0.00000000000E+000
+3.82591500000E+008, -4.40026356605E+001, +0.00000000000E+000
+4.05091000000E+008, -4.36226661516E+001, +0.00000000000E+000
+4.27590500000E+008, -4.30328666838E+001, +0.00000000000E+000
+4.50090000000E+008, -4.34901913881E+001, +0.00000000000E+000
+4.72589500000E+008, -4.45654078539E+001, +0.00000000000E+000
+4.95089000000E+008, -4.43939064880E+001, +0.00000000000E+000
+5.17588500000E+008, -4.47525538745E+001, +0.00000000000E+000
+5.40088000000E+008, -4.37527845605E+001, +0.00000000000E+000
+5.62587500000E+008, -4.32016477049E+001, +0.00000000000E+000
+5.85087000000E+008, -4.26733576412E+001, +0.00000000000E+000
+6.07586500000E+008, -4.35835533381E+001, +0.00000000000E+000
+6.30086000000E+008, -4.31815316479E+001, +0.00000000000E+000
+6.52585500000E+008, -4.25685992314E+001, +0.00000000000E+000
+6.75085000000E+008, -4.18415760411E+001, +0.00000000000E+000
+6.97584500000E+008, -4.22760227791E+001, +0.00000000000E+000
+7.20084000000E+008, -4.36050955551E+001, +0.00000000000E+000
+7.42583500000E+008, -4.52092872586E+001, +0.00000000000E+000
+7.65083000000E+008, -4.47549586775E+001, +0.00000000000E+000
+7.87582500000E+008, -4.42549074871E+001, +0.00000000000E+000
+8.10082000000E+008, -4.39537034760E+001, +0.00000000000E+000
+8.32581500000E+008, -4.45751335426E+001, +0.00000000000E+000
+8.55081000000E+008, -4.43987200066E+001, +0.00000000000E+000
+8.77580500000E+008, -4.31580496911E+001, +0.00000000000E+000
+9.00080000000E+008, -4.17485054438E+001, +0.00000000000E+000
+9.22579500000E+008, -4.14268076988E+001, +0.00000000000E+000
+9.45079000000E+008, -4.15870577725E+001, +0.00000000000E+000
+9.67578500000E+008, -4.44726936522E+001, +0.00000000000E+000
+9.90078000000E+008, -4.61587134991E+001, +0.00000000000E+000
+1.01257750000E+009, -4.47710566763E+001, +0.00000000000E+000
+1.03507700000E+009, -4.26502729686E+001, +0.00000000000E+000
+1.05757650000E+009, -4.31415263102E+001, +0.00000000000E+000
+1.08007600000E+009, -4.43993304842E+001, +0.00000000000E+000
+1.10257550000E+009, -4.56704803572E+001, +0.00000000000E+000
+1.12507500000E+009, -4.37397943188E+001, +0.00000000000E+000
+1.14757450000E+009, -4.16910654712E+001, +0.00000000000E+000
+1.17007400000E+009, -4.03974798050E+001, +0.00000000000E+000
+1.19257350000E+009, -4.05857039237E+001, +0.00000000000E+000
+1.21507300000E+009, -4.25214941119E+001, +0.00000000000E+000
+1.23757250000E+009, -4.40694763258E+001, +0.00000000000E+000
+1.26007200000E+009, -4.27363392105E+001, +0.00000000000E+000
+1.28257150000E+009, -4.16169955163E+001, +0.00000000000E+000
+1.30507100000E+009, -4.15540573391E+001, +0.00000000000E+000
+1.32757050000E+009, -4.31572675177E+001, +0.00000000000E+000
+1.35007000000E+009, -4.45497112393E+001, +0.00000000000E+000
+1.37256950000E+009, -4.39789116931E+001, +0.00000000000E+000
+1.39506900000E+009, -4.21814565781E+001, +0.00000000000E+000
+1.41756850000E+009, -3.96708461242E+001, +0.00000000000E+000
+1.44006800000E+009, -3.96001449505E+001, +0.00000000000E+000
+1.46256750000E+009, -4.13681351124E+001, +0.00000000000E+000
+1.48506700000E+009, -4.30278955028E+001, +0.00000000000E+000
+1.50756650000E+009, -4.31211867982E+001, +0.00000000000E+000
+1.53006600000E+009, -4.19409891614E+001, +0.00000000000E+000
+1.55256550000E+009, -4.08825046116E+001, +0.00000000000E+000
+1.57506500000E+009, -4.20047561757E+001, +0.00000000000E+000
+1.59756450000E+009, -4.39418894620E+001, +0.00000000000E+000
+1.62006400000E+009, -4.43742206204E+001, +0.00000000000E+000
+1.64256350000E+009, -4.21971540657E+001, +0.00000000000E+000
+1.66506300000E+009, -4.10310013731E+001, +0.00000000000E+000
+1.68756250000E+009, -3.99279608714E+001, +0.00000000000E+000
+1.71006200000E+009, -4.07337482149E+001, +0.00000000000E+000
+1.73256150000E+009, -4.23238172285E+001, +0.00000000000E+000
+1.75506100000E+009, -4.24712685608E+001, +0.00000000000E+000
+1.77756050000E+009, -4.14440131174E+001, +0.00000000000E+000
+1.80006000000E+009, -4.02248572820E+001, +0.00000000000E+000
+1.82255950000E+009, -4.09316872078E+001, +0.00000000000E+000
+1.84505900000E+009, -4.25066344268E+001, +0.00000000000E+000
+1.86755850000E+009, -4.34832466231E+001, +0.00000000000E+000
+1.89005800000E+009, -4.21343077758E+001, +0.00000000000E+000
+1.91255750000E+009, -4.07185459181E+001, +0.00000000000E+000
+1.93505700000E+009, -3.94175125678E+001, +0.00000000000E+000
+1.95755650000E+009, -3.92715867301E+001, +0.00000000000E+000
+1.98005600000E+009, -3.99469530015E+001, +0.00000000000E+000
+2.00255550000E+009, -4.08780351320E+001, +0.00000000000E+000
+2.02505500000E+009, -4.09626932846E+001, +0.00000000000E+000
+2.04755450000E+009, -4.02733400393E+001, +0.00000000000E+000
+2.07005400000E+009, -4.01229292209E+001, +0.00000000000E+000
+2.09255350000E+009, -4.14478346268E+001, +0.00000000000E+000
+2.11505300000E+009, -4.23366854189E+001, +0.00000000000E+000
+2.13755250000E+009, -4.18244036472E+001, +0.00000000000E+000
+2.16005200000E+009, -4.02401360957E+001, +0.00000000000E+000
+2.18255150000E+009, -3.89608451450E+001, +0.00000000000E+000
+2.20505100000E+009, -3.97916173291E+001, +0.00000000000E+000
+2.22755050000E+009, -4.05179395305E+001, +0.00000000000E+000
+2.25005000000E+009, -4.12041351672E+001, +0.00000000000E+000
+2.27254950000E+009, -4.03084714087E+001, +0.00000000000E+000
+2.29504900000E+009, -3.98761457026E+001, +0.00000000000E+000
+2.31754850000E+009, -4.02310411196E+001, +0.00000000000E+000
+2.34004800000E+009, -4.14135391844E+001, +0.00000000000E+000
+2.36254750000E+009, -4.24766117231E+001, +0.00000000000E+000
+2.38504700000E+009, -4.23613401016E+001, +0.00000000000E+000
+2.40754650000E+009, -4.13418264350E+001, +0.00000000000E+000
+2.43004600000E+009, -4.13548493119E+001, +0.00000000000E+000
+2.45254550000E+009, -4.28336796105E+001, +0.00000000000E+000
+2.47504500000E+009, -4.34266041995E+001, +0.00000000000E+000
+2.49754450000E+009, -4.21953577376E+001, +0.00000000000E+000
+2.52004400000E+009, -4.16535811201E+001, +0.00000000000E+000
+2.54254350000E+009, -4.11098562143E+001, +0.00000000000E+000
+2.56504300000E+009, -4.21670284393E+001, +0.00000000000E+000
+2.58754250000E+009, -4.23501798606E+001, +0.00000000000E+000
+2.61004200000E+009, -4.18760167847E+001, +0.00000000000E+000
+2.63254150000E+009, -4.08801879549E+001, +0.00000000000E+000
+2.65504100000E+009, -4.03407473008E+001, +0.00000000000E+000
+2.67754050000E+009, -4.09904832173E+001, +0.00000000000E+000
+2.70004000000E+009, -4.13284670387E+001, +0.00000000000E+000
+2.72253950000E+009, -4.12408068790E+001, +0.00000000000E+000
+2.74503900000E+009, -3.97637285595E+001, +0.00000000000E+000
+2.76753850000E+009, -3.94798012382E+001, +0.00000000000E+000
+2.79003800000E+009, -4.07503884207E+001, +0.00000000000E+000
+2.81253750000E+009, -4.21854095227E+001, +0.00000000000E+000
+2.83503700000E+009, -4.16092772530E+001, +0.00000000000E+000
+2.85753650000E+009, -3.98421853951E+001, +0.00000000000E+000
+2.88003600000E+009, -3.83335342828E+001, +0.00000000000E+000
+2.90253550000E+009, -3.85555636648E+001, +0.00000000000E+000
+2.92503500000E+009, -4.03818487922E+001, +0.00000000000E+000
+2.94753450000E+009, -4.10664747599E+001, +0.00000000000E+000
+2.97003400000E+009, -4.04048195562E+001, +0.00000000000E+000
+2.99253350000E+009, -3.86737022745E+001, +0.00000000000E+000
+3.01503300000E+009, -3.79697908276E+001, +0.00000000000E+000
+3.03753250000E+009, -3.91207573857E+001, +0.00000000000E+000
+3.06003200000E+009, -4.07757040549E+001, +0.00000000000E+000
+3.08253150000E+009, -4.04930499513E+001, +0.00000000000E+000
+3.10503100000E+009, -3.98192499418E+001, +0.00000000000E+000
+3.12753050000E+009, -3.87181135480E+001, +0.00000000000E+000
+3.15003000000E+009, -3.93812361481E+001, +0.00000000000E+000
+3.17252950000E+009, -4.04972357837E+001, +0.00000000000E+000
+3.19502900000E+009, -4.08192737265E+001, +0.00000000000E+000
+3.21752850000E+009, -4.00837251281E+001, +0.00000000000E+000
+3.24002800000E+009, -3.94851609610E+001, +0.00000000000E+000
+3.26252750000E+009, -3.92135595548E+001, +0.00000000000E+000
+3.28502700000E+009, -4.01905171044E+001, +0.00000000000E+000
+3.30752650000E+009, -4.10903486855E+001, +0.00000000000E+000
