"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+008, +4.36280049304E-005, +1.19789596771E-003
+3.02639296188E+008, +4.99938306325E-005, +1.21142373130E-003
+3.05278592375E+008, +5.10847603298E-005, +1.22422095900E-003
+3.07917888563E+008, +5.30714732938E-005, +1.24036150432E-003
+3.10557184751E+008, +5.69802871130E-005, +1.25134699109E-003
+3.13196480938E+008, +6.08271318223E-005, +1.26325177911E-003
+3.15835777126E+008, +6.28712971521E-005, +1.27225527812E-003
+3.18475073314E+008, +6.41836567600E-005, +1.28409979068E-003
+3.21114369501E+008, +6.39657653153E-005, +1.29464146457E-003
+3.23753665689E+008, +6.72103212756E-005, +1.30971230736E-003
+3.26392961877E+008, +6.50047995129E-005, +1.32020712039E-003
+3.29032258065E+008, +6.46756440324E-005, +1.33072031930E-003
+3.31671554252E+008, +6.68225585380E-005, +1.34359120135E-003
+3.34310850440E+008, +6.65356894958E-005, +1.35466081315E-003
+3.36950146628E+008, +6.70832590639E-005, +1.36461905138E-003
+3.39589442815E+008, +6.67592914726E-005, +1.37539436589E-003
+3.42228739003E+008, +6.61552698436E-005, +1.38242085463E-003
+3.44868035191E+008, +6.66952217351E-005, +1.39631574777E-003
+3.47507331378E+008, +6.50378547953E-005, +1.40520332973E-003
+3.50146627566E+008, +6.75057174103E-005, +1.41691683876E-003
+3.52785923754E+008, +6.55669599884E-005, +1.42639051411E-003
+3.55425219941E+008, +6.46462960049E-005, +1.43748107275E-003
+3.58064516129E+008, +6.31672918899E-005, +1.44871989526E-003
+3.60703812317E+008, +6.04139978366E-005, +1.45950796064E-003
+3.63343108504E+008, +5.78517771660E-005, +1.46826902922E-003
+3.65982404692E+008, +5.92580817074E-005, +1.47485348856E-003
+3.68621700880E+008, +5.72418444463E-005, +1.48413416202E-003
+3.71260997067E+008, +5.72129338258E-005, +1.49291210281E-003
+3.73900293255E+008, +5.65691099226E-005, +1.50264132117E-003
+3.76539589443E+008, +5.31303518692E-005, +1.51259746183E-003
+3.79178885630E+008, +5.43947403324E-005, +1.52193497048E-003
+3.81818181818E+008, +5.21976216244E-005, +1.53186984506E-003
+3.84457478006E+008, +5.30789823578E-005, +1.54258032278E-003
+3.87096774194E+008, +5.20996773962E-005, +1.55255326008E-003
+3.89736070381E+008, +5.15138167725E-005, +1.56317395264E-003
+3.92375366569E+008, +5.26023252197E-005, +1.56879790554E-003
+3.95014662757E+008, +5.17217602678E-005, +1.57940108488E-003
+3.97653958944E+008, +5.14202022515E-005, +1.59327753325E-003
+4.00293255132E+008, +5.02959139151E-005, +1.59943727082E-003
+4.02932551320E+008, +5.16193397492E-005, +1.60716712290E-003
+4.05571847507E+008, +5.20980086591E-005, +1.61943820073E-003
+4.08211143695E+008, +5.39659741752E-005, +1.62894479423E-003
+4.10850439883E+008, +5.05623000790E-005, +1.64029742264E-003
+4.13489736070E+008, +5.49196480114E-005, +1.65075566912E-003
+4.16129032258E+008, +5.83792100691E-005, +1.66542396711E-003
+4.18768328446E+008, +5.45053781609E-005, +1.67166809320E-003
+4.21407624633E+008, +6.14726056371E-005, +1.68648008064E-003
+4.24046920821E+008, +5.76498044496E-005, +1.69521610448E-003
+4.26686217009E+008, +6.11958885859E-005, +1.71067233500E-003
+4.29325513196E+008, +6.41140982688E-005, +1.71635700431E-003
+4.31964809384E+008, +5.94927973670E-005, +1.73161597830E-003
+4.34604105572E+008, +6.50378824188E-005, +1.74084811047E-003
+4.37243401760E+008, +6.85348363306E-005, +1.75321294646E-003
+4.39882697947E+008, +6.65570973732E-005, +1.76338636456E-003
+4.42521994135E+008, +6.70504204515E-005, +1.77351172654E-003
+4.45161290323E+008, +6.75993249361E-005, +1.78636221240E-003
+4.47800586510E+008, +7.15650325725E-005, +1.79843487951E-003
+4.50439882698E+008, +7.02532842089E-005, +1.80899192597E-003
+4.53079178886E+008, +7.13087938398E-005, +1.82217485414E-003
+4.55718475073E+008, +7.34087542435E-005, +1.83194155277E-003
+4.58357771261E+008, +7.24458068034E-005, +1.84671610476E-003
+4.60997067449E+008, +7.22658063328E-005, +1.85713717416E-003
+4.63636363636E+008, +7.01383256592E-005, +1.86892115130E-003
+4.66275659824E+008, +7.12634513687E-005, +1.88079030673E-003
+4.68914956012E+008, +7.04083155855E-005, +1.88891045104E-003
+4.71554252199E+008, +7.22750709065E-005, +1.89952446823E-003
+4.74193548387E+008, +7.26298806758E-005, +1.90667557339E-003
+4.76832844575E+008, +6.97905285408E-005, +1.91984730158E-003
+4.79472140762E+008, +6.92965477959E-005, +1.93158909595E-003
+4.82111436950E+008, +6.78902896542E-005, +1.94038457309E-003
+4.84750733138E+008, +6.61592595529E-005, +1.95081526757E-003
+4.87390029326E+008, +6.68056195527E-005, +1.95783926225E-003
+4.90029325513E+008, +6.64106615313E-005, +1.97355849015E-003
+4.92668621701E+008, +6.78040775803E-005, +1.98084369101E-003
+4.95307917889E+008, +6.49634000400E-005, +1.99082894561E-003
+4.97947214076E+008, +6.26087020848E-005, +2.00125139330E-003
+5.00586510264E+008, +6.31729365302E-005, +2.01021781089E-003
+5.03225806452E+008, +6.26027813633E-005, +2.01795636277E-003
+5.05865102639E+008, +6.28700016473E-005, +2.02826427058E-003
+5.08504398827E+008, +6.10306604339E-005, +2.03857771482E-003
+5.11143695015E+008, +6.07454125110E-005, +2.05003225530E-003
+5.13782991202E+008, +6.39862721397E-005, +2.05837231792E-003
+5.16422287390E+008, +6.35411038633E-005, +2.06840915377E-003
+5.19061583578E+008, +6.29880774269E-005, +2.07746821571E-003
+5.21700879765E+008, +6.27170633683E-005, +2.08548031523E-003
+5.24340175953E+008, +6.15430922105E-005, +2.09542156243E-003
+5.26979472141E+008, +6.41112786581E-005, +2.10720247836E-003
+5.29618768328E+008, +6.08379167933E-005, +2.11785272150E-003
+5.32258064516E+008, +6.60715563604E-005, +2.12804558704E-003
+5.34897360704E+008, +6.44398855957E-005, +2.14068301456E-003
+5.37536656891E+008, +6.41672993257E-005, +2.15121650490E-003
+5.40175953079E+008, +6.47513567878E-005, +2.16038070089E-003
+5.42815249267E+008, +6.39644970403E-005, +2.17110147161E-003
+5.45454545455E+008, +6.36251774705E-005, +2.18200086571E-003
+5.48093841642E+008, +6.83189264247E-005, +2.19310993166E-003
+5.50733137830E+008, +6.63327780447E-005, +2.20727504327E-003
+5.53372434018E+008, +6.78202618757E-005, +2.21451671935E-003
+5.56011730205E+008, +6.81994332108E-005, +2.22756355603E-003
+5.58651026393E+008, +7.01038477759E-005, +2.24033494968E-003
+5.61290322581E+008, +6.76204191917E-005, +2.25070885974E-003
+5.63929618768E+008, +6.52572842661E-005, +2.26281498098E-003
+5.66568914956E+008, +6.91715094669E-005, +2.27573673986E-003
+5.69208211144E+008, +6.74905090982E-005, +2.28330935030E-003
+5.71847507331E+008, +6.80849865827E-005, +2.29500337518E-003
+5.74486803519E+008, +6.85252085110E-005, +2.30732865666E-003
+5.77126099707E+008, +6.77211764401E-005, +2.32031651129E-003
+5.79765395894E+008, +6.46007066664E-005, +2.33388954747E-003
+5.82404692082E+008, +6.56587124223E-005, +2.34103250530E-003
+5.85043988270E+008, +6.67792222062E-005, +2.35370740600E-003
+5.87683284457E+008, +6.28424914280E-005, +2.36211699146E-003
+5.90322580645E+008, +6.62188821084E-005, +2.37472513136E-003
+5.92961876833E+008, +6.43177409773E-005, +2.38509814597E-003
+5.95601173021E+008, +5.92810617773E-005, +2.39478087829E-003
+5.98240469208E+008, +6.22622665385E-005, +2.41039970398E-003
