freq, nonideal i, ideal i
100.000000000000000000 kHz,0.00000000000246740111 + j0.00000314159265823880 ,0.00000000000000000000 + j0.00000314159265358979 
1.10000000000000008882 MHz,0.00000000029855564007 + j0.00003455752537731263 ,0.00000000000000000000 + j0.00003455751918948772 
2.10000000000000008882 MHz,0.00000000108812530574 + j0.00006597348877983617 ,0.00000000000000000000 + j0.00006597344572538565 
3.10000000000000008882 MHz,0.00000000237117920292 + j0.00009738951075994700 ,0.00000000000000000000 + j0.00009738937226128358 
4.09999999999999964473 MHz,0.00000000414772188944 + j0.00012880561921195603 ,0.00000000000000000000 + j0.00012880529879718151 
5.09999999999999964473 MHz,0.00000000641775967620 + j0.00016022184203043000 ,0.00000000000000000000 + j0.00016022122533307945 
6.09999999999999964473 MHz,0.00000000918130062718 + j0.00019163820711027392 ,0.00000000000000000000 + j0.00019163715186897739 
7.09999999999999964473 MHz,0.00000001243835455953 + j0.00022305474234681375 ,0.00000000000000000000 + j0.00022305307840487531 
8.09999999999999964473 MHz,0.00000001618893304360 + j0.00025447147563587886 ,0.00000000000000000000 + j0.00025446900494077322 
9.09999999999999964473 MHz,0.00000002043304940304 + j0.00028588843487388450 ,0.00000000000000000000 + j0.00028588493147667116 
10.0999999999999996447 MHz,0.00000002517071871489 + j0.00031730564795791463 ,0.00000000000000000000 + j0.00031730085801256910 
11.0999999999999996447 MHz,0.00000003040195780967 + j0.00034872314278580358 ,0.00000000000000000000 + j0.00034871678454846699 
12.0999999999999996447 MHz,0.00000003612678527150 + j0.00038014094725622013 ,0.00000000000000000000 + j0.00038013271108436493 
13.0999999999999996447 MHz,0.00000004234522143821 + j0.00041155908926874846 ,0.00000000000000000000 + j0.00041154863762026287 
14.0999999999999996447 MHz,0.00000004905728840149 + j0.00044297759672397188 ,0.00000000000000000000 + j0.00044296456415616076 
15.0999999999999996447 MHz,0.00000005626301000704 + j0.00047439649752355450 ,0.00000000000000000000 + j0.00047438049069205870 
16.1000000000000014211 MHz,0.00000006396241185470 + j0.00050581581957032486 ,0.00000000000000000000 + j0.00050579641722795670 
17.1000000000000014211 MHz,0.00000007215552129866 + j0.00053723559076835714 ,0.00000000000000000000 + j0.00053721234376385464 
18.1000000000000014211 MHz,0.00000008084236744763 + j0.00056865583902305475 ,0.00000000000000000000 + j0.00056862827029975258 
19.1000000000000014211 MHz,0.00000009002298116500 + j0.00060007659224123279 ,0.00000000000000000000 + j0.00060004419683565042 
