freq, ideal inductor current, nonideal inductor current
10.00 kHz,0.000 - j3.183E3 ,0.870 - j2.375E-4 
1.010 MHz,0.000 - j31.516 ,0.869 - j0.024 
2.010 MHz,0.000 - j15.836 ,0.867 - j0.048 
3.010 MHz,0.000 - j10.575 ,0.864 - j0.071 
4.010 MHz,0.000 - j7.938 ,0.859 - j0.094 
5.010 MHz,0.000 - j6.353 ,0.854 - j0.117 
6.010 MHz,0.000 - j5.296 ,0.847 - j0.139 
7.010 MHz,0.000 - j4.541 ,0.839 - j0.161 
8.010 MHz,0.000 - j3.974 ,0.830 - j0.182 
9.010 MHz,0.000 - j3.533 ,0.820 - j0.202 
10.01 MHz,0.000 - j3.180 ,0.809 - j0.221 
11.01 MHz,0.000 - j2.891 ,0.797 - j0.240 
12.01 MHz,0.000 - j2.650 ,0.785 - j0.258 
13.01 MHz,0.000 - j2.447 ,0.772 - j0.274 
14.01 MHz,0.000 - j2.272 ,0.758 - j0.290 
15.01 MHz,0.000 - j2.121 ,0.744 - j0.305 
16.01 MHz,0.000 - j1.988 ,0.730 - j0.319 
17.01 MHz,0.000 - j1.871 ,0.715 - j0.332 
18.01 MHz,0.000 - j1.767 ,0.700 - j0.344 
19.01 MHz,0.000 - j1.674 ,0.685 - j0.356 
20.01 MHz,0.000 - j1.591 ,0.670 - j0.366 
21.01 MHz,0.000 - j1.515 ,0.654 - j0.375 
22.01 MHz,0.000 - j1.446 ,0.639 - j0.384 
23.01 MHz,0.000 - j1.383 ,0.623 - j0.392 
24.01 MHz,0.000 - j1.326 ,0.608 - j0.399 
25.01 MHz,0.000 - j1.273 ,0.593 - j0.405 
26.01 MHz,0.000 - j1.224 ,0.578 - j0.411 
27.01 MHz,0.000 - j1.178 ,0.563 - j0.415 
28.01 MHz,0.000 - j1.136 ,0.548 - j0.420 
29.01 MHz,0.000 - j1.097 ,0.534 - j0.423 
30.01 MHz,0.000 - j1.061 ,0.520 - j0.426 
31.01 MHz,0.000 - j1.026 ,0.506 - j0.429 
32.01 MHz,0.000 - j0.994 ,0.493 - j0.431 
33.01 MHz,0.000 - j0.964 ,0.480 - j0.432 
34.01 MHz,0.000 - j0.936 ,0.467 - j0.434 
35.01 MHz,0.000 - j0.909 ,0.454 - j0.434 
36.01 MHz,0.000 - j0.884 ,0.442 - j0.435 
37.01 MHz,0.000 - j0.860 ,0.430 - j0.435 
38.01 MHz,0.000 - j0.837 ,0.418 - j0.434 
39.01 MHz,0.000 - j0.816 ,0.407 - j0.434 
40.01 MHz,0.000 - j0.796 ,0.396 - j0.433 
41.01 MHz,0.000 - j0.776 ,0.386 - j0.432 
42.01 MHz,0.000 - j0.758 ,0.375 - j0.431 
43.01 MHz,0.000 - j0.740 ,0.365 - j0.429 
44.01 MHz,0.000 - j0.723 ,0.356 - j0.428 
45.01 MHz,0.000 - j0.707 ,0.346 - j0.426 
46.01 MHz,0.000 - j0.692 ,0.337 - j0.424 
47.01 MHz,0.000 - j0.677 ,0.328 - j0.422 
48.01 MHz,0.000 - j0.663 ,0.320 - j0.419 
49.01 MHz,0.000 - j0.649 ,0.311 - j0.417 
50.01 MHz,0.000 - j0.636 ,0.303 - j0.414 
51.01 MHz,0.000 - j0.624 ,0.296 - j0.412 
52.01 MHz,0.000 - j0.612 ,0.288 - j0.409 
53.01 MHz,0.000 - j0.600 ,0.281 - j0.407 
54.01 MHz,0.000 - j0.589 ,0.274 - j0.404 
55.01 MHz,0.000 - j0.579 ,0.267 - j0.401 
56.01 MHz,0.000 - j0.568 ,0.260 - j0.398 
57.01 MHz,0.000 - j0.558 ,0.254 - j0.395 
58.01 MHz,0.000 - j0.549 ,0.248 - j0.392 
59.01 MHz,0.000 - j0.539 ,0.242 - j0.390 
60.01 MHz,0.000 - j0.530 ,0.236 - j0.387 
61.01 MHz,0.000 - j0.522 ,0.230 - j0.384 
62.01 MHz,0.000 - j0.513 ,0.225 - j0.381 
63.01 MHz,0.000 - j0.505 ,0.219 - j0.378 
64.01 MHz,0.000 - j0.497 ,0.214 - j0.375 
65.01 MHz,0.000 - j0.490 ,0.209 - j0.372 
66.01 MHz,0.000 - j0.482 ,0.205 - j0.369 
