freq, current
10.0000000000000000000 kHz,0.86956515249705790271 - j0.00023754949616312362 
1.01000000000000000888 MHz,0.86890373471301862729 - j0.02397424968374674975 
2.00999999999999978684 MHz,0.86695130586018942509 - j0.04760392351837119951 
3.00999999999999978684 MHz,0.86372521995265438832 - j0.07102219369789443404 
4.00999999999999978684 MHz,0.85925389608442215295 - j0.09412779137658794371 
5.00999999999999978684 MHz,0.85357619859771594051 - j0.11682398272255206662 
6.00999999999999978684 MHz,0.84674060580539767251 - j0.13901985916333892135 
7.00999999999999978684 MHz,0.83880419988121346364 - j0.16063145713108817336 
8.00999999999999978684 MHz,0.82983151617357475693 - j0.18158268148062853276 
9.00999999999999978684 MHz,0.81989329358011919791 - j0.20180601594694771994 
10.0099999999999997868 MHz,0.80906516868735522952 - j0.22124301339984814296 
11.0099999999999997868 MHz,0.79742635525696048404 - j0.23984456764876674328 
12.0099999999999997868 MHz,0.78505834760264947558 - j0.25757097664156547445 
13.0099999999999997868 MHz,0.77204368183340010834 - j0.27439181370115528491 
14.0099999999999997868 MHz,0.75846478328737321206 - j0.29028562870609414537 
15.0099999999999997868 MHz,0.74440292220955550651 - j0.30523950473994637678 
16.0100000000000015632 MHz,0.72993729327410350471 - j0.31924849773186897428 
17.0100000000000015632 MHz,0.71514422830261781261 - j0.33231498711628432163 
18.0100000000000015632 MHz,0.70009654578844793260 - j0.34444796475851502393 
19.0100000000000015632 MHz,0.68486303582457741523 - j0.35566228757911860781 
20.0100000000000015632 MHz,0.66950807488214536534 - j0.36597791673435481341 
21.0100000000000015632 MHz,0.65409136165307979471 - j0.37541916314070628014 
22.0100000000000015632 MHz,0.63866776284205817316 - j0.38401395581119762701 
23.0100000000000015632 MHz,0.62328725630781389722 - j0.39179314610859361512 
24.0100000000000015632 MHz,0.60799495821412419261 - j0.39878985778171843757 
25.0100000000000015632 MHz,0.59283122073874694458 - j0.40503888965924761401 
26.0100000000000015632 MHz,0.57783178727832751331 - j0.41057617521243439107 
27.0100000000000015632 MHz,0.56302799285513849270 - j0.41543830091018035811 
28.0100000000000015632 MHz,0.54844699846313471614 - j0.41966208339238258995 
29.0100000000000015632 MHz,0.53411204928541733405 - j0.42328420397286653509 
30.0100000000000015632 MHz,0.52004274798859795315 - j0.42634089782686268588 
31.0100000000000015632 MHz,0.50625533558400792611 - j0.42886769438409194644 
32.0099999999999980105 MHz,0.49276297358985576835 - j0.43089920489521132962 
33.0099999999999980105 MHz,0.47957602239551655465 - j0.43246895282240149783 
34.0099999999999980105 MHz,0.46670231179491206142 - j0.43360924258078742399 
35.0099999999999980105 MHz,0.45414740060680008904 - j0.43435106218537544720 
36.0099999999999980105 MHz,0.44191482313026181350 - j0.43472401550154921024 
37.0099999999999980105 MHz,0.43000632089463980412 - j0.43475628002388894133 
38.0099999999999980105 MHz,0.41842205875996862918 - j0.43447458639104119538 
39.0099999999999980105 MHz,0.40716082491495436679 - j0.43390421616132096583 
40.0099999999999980105 MHz,0.39622021471492169242 - j0.43306901470689551648 
41.0099999999999980105 MHz,0.38559679861293427727 - j0.43199141641996174901 
42.0099999999999980105 MHz,0.37528627467457259526 - j0.43069247975200863898 
43.0099999999999980105 MHz,0.36528360634153139719 - j0.42919192991967364259 
44.0099999999999980105 MHz,0.35558314623137182720 - j0.42750820740294181999 
45.0099999999999980105 MHz,0.34617874683956367798 - j0.42565852063042991515 
46.0099999999999980105 MHz,0.33706385905373781320 - j0.42365890149078766491 
47.0099999999999980105 MHz,0.32823161940594247632 - j0.42152426252852009947 
48.0099999999999980105 MHz,0.31967492698286509301 - j0.41926845487718877870 
49.0099999999999980105 MHz,0.31138651089170532593 - j0.41690432615420114359 
50.0099999999999980105 MHz,0.30335898914502323898 - j0.41444377769062717976 
51.0099999999999980105 MHz,0.29558491978507855924 - j0.41189782059849944229 
52.0099999999999980105 MHz,0.28805684501976913658 - j0.40927663028861321903 
53.0099999999999980105 MHz,0.28076732909071377975 - j0.40658959914588999052 
54.0099999999999980105 MHz,0.27370899054102487691 - j0.40384538714865447773 
55.0099999999999980105 MHz,0.26687452949735623875 - j0.40105197028448541507 
56.0099999999999980105 MHz,0.26025675052895991257 - j0.39821668667025750254 
57.0099999999999980105 MHz,0.25384858159645029563 - j0.39534628032905716477 
58.0099999999999980105 MHz,0.24764308955534944379 - j0.39244694261324353235 
59.0099999999999980105 MHz,0.24163349263461408878 - j0.38952435129221490984 
60.0099999999999980105 MHz,0.23581317026842840701 - j0.38658370734654318168 
61.0099999999999980105 MHz,0.23017567062063315486 - j0.38362976952800315056 
62.0099999999999980105 MHz,0.22471471610537133157 - j0.38066688675849758017 
63.0099999999999980105 MHz,0.21942420717465077606 - j0.37769902845068986652 
64.0100000000000051159 MHz,0.21429822461360276131 - j0.37472981283993817003 
65.0100000000000051159 MHz,0.20933103055696636319 - j0.37176253342141518665 
66.0100000000000051159 MHz,0.20451706841575287288 - j0.36880018358858068783 
67.0100000000000051159 MHz,0.19985096188080966884 - j0.36584547956981500194 
68.0100000000000051159 MHz,0.19532751315005042470 - j0.36290088175937912363 
69.0100000000000051159 MHz,0.19094170050824160745 - j0.35996861453720990776 
70.0100000000000051159 MHz,0.18668867537221711661 - j0.35705068466962880391 
71.0100000000000051159 MHz,0.18256375890012249696 - j0.35414889838001745170 
72.0100000000000051159 MHz,0.17856243825060308383 - j0.35126487717508586561 
73.0100000000000051159 MHz,0.17468036256655466998 - j0.34840007250862531363 
74.0100000000000051159 MHz,0.17091333874806083348 - j0.34555577936074310941 
75.0100000000000051159 MHz,0.16725732707029786206 - j0.34273314880655325609 
76.0100000000000051159 MHz,0.16370843669438064905 - j0.33993319964429857816 
77.0100000000000051159 MHz,0.16026292111223311432 - j0.33715682914885980459 
78.0100000000000051159 MHz,0.15691717356051082533 - j0.33440482301269780496 
79.0100000000000051159 MHz,0.15366772243331092151 - j0.33167786453245234890 
80.0100000000000051159 MHz,0.15051122671869512915 - j0.32897654309572538223 
81.0100000000000051159 MHz,0.14744447148004399817 - j0.32630136201904669235 
82.0100000000000051159 MHz,0.14446436339963289464 - j0.32365274578461772359 
83.0100000000000051159 MHz,0.14156792639877432971 - j0.32103104672021937072 
84.0100000000000051159 MHz,0.13875229734614541455 - j0.31843655116361535562 
85.0100000000000051159 MHz,0.13601472186359886418 - j0.31586948514989621195 
86.0100000000000051159 MHz,0.13335255023673076025 - j0.31333001965749113227 
87.0100000000000051159 MHz,0.13076323343573087454 - j0.31081827544603396474 
88.0100000000000051159 MHz,0.12824431925055643222 - j0.30833432751686112860 
89.0100000000000051159 MHz,0.12579344854317064950 - j0.30587820922469299845 
90.0100000000000051159 MHz,0.12340835161850165214 - j0.30344991606694665665 
91.0100000000000051159 MHz,0.12108684471485738066 - j0.30104940917519479315 
92.0100000000000051159 MHz,0.11882682661371442301 - j0.29867661853144317208 
93.0100000000000051159 MHz,0.11662627536817458951 - j0.29633144593022997526 
94.0100000000000051159 MHz,0.11448324514880985070 - j0.29401376770596521215 
95.0100000000000051159 MHz,0.11239586320516958828 - j0.29172343724347410410 
96.0100000000000051159 MHz,0.11036232694084341377 - j0.28946028728834904964 
97.0100000000000051159 MHz,0.10838090109968903652 - j0.28722413207246577649 
98.0100000000000051159 MHz,0.10644991506057063790 - j0.28501476926884600216 
99.0100000000000051159 MHz,0.10456776023779935925 - j0.28283198178898338870 
100.010000000000005116 MHz,0.10273288758429265088 - j0.28067553943473533273 
101.010000000000005116 MHz,0.10094380519440515620 - j0.27854520041597713442 
102.010000000000005116 MHz,0.09919907600328725650 - j0.27644071274435100261 
103.010000000000005116 MHz,0.09749731557961646700 - j0.27436181551265353962 
104.010000000000005116 MHz,0.09583719000850410286 - j0.27230824006868015186 
105.010000000000005116 MHz,0.09421741386142634678 - j0.27027971109166887276 
106.010000000000005116 MHz,0.09263674825000116353 - j0.26827594757885825372 
107.010000000000005116 MHz,0.09109399896053400891 - j0.26629666374911015181 
108.010000000000005116 MHz,0.08958801466624376209 - j0.26434156987000068106 
109.010000000000005116 MHz,0.08811768521417868982 - j0.26241037301431086037 
110.010000000000005116 MHz,0.08668193998390391619 - j0.26050277775137770098 
111.010000000000005116 MHz,0.08527974631507057035 - j0.25861848677835880261 
112.010000000000005116 MHz,0.08391010800111362022 - j0.25675720149607644816 
113.010000000000005116 MHz,0.08257206384636028851 - j0.25491862253374519831 
114.010000000000005116 MHz,0.08126468628394388494 - j0.25310245022656441272 
115.010000000000005116 MHz,0.07998708005198447435 - j0.25130838504984864823 
116.010000000000005116 MHz,0.07873838092559178048 - j0.24953612801308949765 
117.010000000000005116 MHz,0.07751775450234062170 - j0.24778538101708424968 
118.010000000000005116 MHz,0.07632439503893201360 - j0.24605584717703060660 
119.010000000000005116 MHz,0.07515752433686068157 - j0.24434723111425410425 
120.010000000000005116 MHz,0.07401639067498588798 - j0.24265923921905055427 
121.010000000000005116 MHz,0.07290026778697175636 - j0.24099157988691655152 
122.010000000000005116 MHz,0.07180845388167213239 - j0.23934396373028304916 
123.010000000000005116 MHz,0.07074027070457915289 - j0.23771610376769902739 
124.010000000000005116 MHz,0.06969506263856299622 - j0.23610771559226553795 
125.010000000000005116 MHz,0.06867219584218095529 - j0.23451851752098382131 
126.010000000000005116 MHz,0.06767105742391657519 - j0.23294823072655257423 
127.010000000000005116 MHz,0.06669105465078517536 - j0.23139657935303853398 
128.009999999999990905 MHz,0.06573161418978876180 - j0.22986329061672783336 
129.009999999999990905 MHz,0.06479218138079551048 - j0.22834809489337279387 
130.009999999999990905 MHz,0.06387221953945483588 - j0.22685072579295420536 
131.009999999999990905 MHz,0.06297120928884369917 - j0.22537092022299240468 
132.009999999999990905 MHz,0.06208864791857707233 - j0.22390841844136558092 
133.009999999999990905 MHz,0.06122404877018226832 - j0.22246296409951554773 
134.009999999999990905 MHz,0.06037694064759565465 - j0.22103430427685993864 
135.009999999999990905 MHz,0.05954686725166905698 - j0.21962218950716155819 
136.009999999999990905 MHz,0.05873338663765233919 - j0.21822637379755371878 
137.009999999999990905 MHz,0.05793607069463843628 - j0.21684661464086263383 
138.009999999999990905 MHz,0.05715450464602445102 - j0.21548267302182150251 
139.009999999999990905 MHz,0.05638828657006336037 - j0.21413431341772354299 
140.009999999999990905 MHz,0.05563702693964929502 - j0.21280130379402156793 
141.009999999999990905 MHz,0.05490034818048300513 - j0.21148341559533986866 
142.009999999999990905 MHz,0.05417788424684451959 - j0.21018042373232981301 
143.009999999999990905 MHz,0.05346928021419614097 - j0.20889210656476939199 
144.009999999999990905 MHz,0.05277419188790072324 - j0.20761824588126709390 
145.009999999999990905 MHz,0.05209228542735293982 - j0.20635862687591863263 
146.009999999999990905 MHz,0.05142323698487732964 - j0.20511303812221873266 
147.009999999999990905 MHz,0.05076673235874732543 - j0.20388127154452162504 
148.009999999999990905 MHz,0.05012246665973334875 - j0.20266312238731457041 
149.009999999999990905 MHz,0.04949014399059450953 - j0.20145838918254418970 
150.009999999999990905 MHz,0.04886947713797742954 - j0.20026687371522824965 
