"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -7.96906477141E-002, +0.00000000000E+000
+1.50621875000E+006, -2.55655689342E+000, +0.00000000000E+000
+2.91243750000E+006, -4.89990985730E+000, +0.00000000000E+000
+4.31865625000E+006, -7.15683517215E+000, +0.00000000000E+000
+5.72487500000E+006, -9.27455879964E+000, +0.00000000000E+000
+7.13109375000E+006, -1.15517378349E+001, +0.00000000000E+000
+8.53731250000E+006, -1.38601092791E+001, +0.00000000000E+000
+9.94353125000E+006, -1.60994048698E+001, +0.00000000000E+000
+1.13497500000E+007, -1.84010031533E+001, +0.00000000000E+000
+1.27559687500E+007, -2.06604263684E+001, +0.00000000000E+000
+1.41621875000E+007, -2.29243945709E+001, +0.00000000000E+000
+1.55684062500E+007, -2.51589575915E+001, +0.00000000000E+000
+1.69746250000E+007, -2.74243299450E+001, +0.00000000000E+000
+1.83808437500E+007, -2.96725695778E+001, +0.00000000000E+000
+1.97870625000E+007, -3.19132377374E+001, +0.00000000000E+000
+2.11932812500E+007, -3.41672406875E+001, +0.00000000000E+000
+2.25995000000E+007, -3.63884998849E+001, +0.00000000000E+000
+2.40057187500E+007, -3.86117164407E+001, +0.00000000000E+000
+2.54119375000E+007, -4.08541728953E+001, +0.00000000000E+000
+2.68181562500E+007, -4.31003643231E+001, +0.00000000000E+000
+2.82243750000E+007, -4.53483992604E+001, +0.00000000000E+000
+2.96305937500E+007, -4.76005819679E+001, +0.00000000000E+000
+3.10368125000E+007, -4.98471704874E+001, +0.00000000000E+000
+3.24430312500E+007, -5.21151414588E+001, +0.00000000000E+000
+3.38492500000E+007, -5.43660078392E+001, +0.00000000000E+000
+3.52554687500E+007, -5.66237732808E+001, +0.00000000000E+000
+3.66616875000E+007, -5.88603220004E+001, +0.00000000000E+000
+3.80679062500E+007, -6.11149043872E+001, +0.00000000000E+000
+3.94741250000E+007, -6.33482187178E+001, +0.00000000000E+000
+4.08803437500E+007, -6.56048279924E+001, +0.00000000000E+000
+4.22865625000E+007, -6.78401353902E+001, +0.00000000000E+000
+4.36927812500E+007, -7.00856829777E+001, +0.00000000000E+000
+4.50990000000E+007, -7.23448325849E+001, +0.00000000000E+000
+4.65052187500E+007, -7.46077642054E+001, +0.00000000000E+000
+4.79114375000E+007, -7.68602766602E+001, +0.00000000000E+000
+4.93176562500E+007, -7.91163003908E+001, +0.00000000000E+000
+5.07238750000E+007, -8.13710170114E+001, +0.00000000000E+000
+5.21300937500E+007, -8.36264306188E+001, +0.00000000000E+000
+5.35363125000E+007, -8.58590670980E+001, +0.00000000000E+000
+5.49425312500E+007, -8.81119535264E+001, +0.00000000000E+000
+5.63487500000E+007, -9.03498458535E+001, +0.00000000000E+000
+5.77549687500E+007, -9.26178258587E+001, +0.00000000000E+000
+5.91611875000E+007, -9.48579448145E+001, +0.00000000000E+000
+6.05674062500E+007, -9.71088474946E+001, +0.00000000000E+000
+6.19736250000E+007, -9.93590385768E+001, +0.00000000000E+000
+6.33798437500E+007, -1.01602917926E+002, +0.00000000000E+000
+6.47860625000E+007, -1.03846886943E+002, +0.00000000000E+000
+6.61922812500E+007, -1.06087915717E+002, +0.00000000000E+000
+6.75985000000E+007, -1.08344913233E+002, +0.00000000000E+000
+6.90047187500E+007, -1.10588103655E+002, +0.00000000000E+000
+7.04109375000E+007, -1.12840632197E+002, +0.00000000000E+000
+7.18171562500E+007, -1.15096345536E+002, +0.00000000000E+000
+7.32233750000E+007, -1.17331652067E+002, +0.00000000000E+000
+7.46295937500E+007, -1.19593369942E+002, +0.00000000000E+000
+7.60358125000E+007, -1.21843102480E+002, +0.00000000000E+000
+7.74420312500E+007, -1.24079651273E+002, +0.00000000000E+000
+7.88482500000E+007, -1.26342714768E+002, +0.00000000000E+000
