"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+008, -4.25632867164E-006, +5.69407151147E-003
+3.02639296188E+008, -3.30535851337E-007, +5.74731668108E-003
+3.05278592375E+008, +1.80611437418E-006, +5.79865355265E-003
+3.07917888563E+008, +4.41531374753E-006, +5.85084606572E-003
+3.10557184751E+008, +7.40310691236E-006, +5.90369929408E-003
+3.13196480938E+008, +9.04562475536E-006, +5.95529046868E-003
+3.15835777126E+008, +1.00433514115E-005, +6.00750335665E-003
+3.18475073314E+008, +9.31594160090E-006, +6.05979879770E-003
+3.21114369501E+008, +1.05569398167E-005, +6.11367221290E-003
+3.23753665689E+008, +1.12796215506E-005, +6.16535421663E-003
+3.26392961877E+008, +1.13402564773E-005, +6.21802239698E-003
+3.29032258065E+008, +9.86073057602E-006, +6.27167199667E-003
+3.31671554252E+008, +1.14342274917E-005, +6.32408041425E-003
+3.34310850440E+008, +9.31208544858E-006, +6.37746660597E-003
+3.36950146628E+008, +8.81194092344E-006, +6.43185660194E-003
+3.39589442815E+008, +6.61843187221E-006, +6.48447106131E-003
+3.42228739003E+008, +6.21448653707E-006, +6.53788375181E-003
+3.44868035191E+008, +4.79733311180E-006, +6.59245222940E-003
+3.47507331378E+008, +1.48190415989E-006, +6.64729573277E-003
+3.50146627566E+008, -5.59788727740E-007, +6.70207019176E-003
+3.52785923754E+008, +1.61743770258E-006, +6.75584056978E-003
+3.55425219941E+008, +1.84031544467E-006, +6.80729764121E-003
+3.58064516129E+008, +2.85333195964E-006, +6.86117663151E-003
+3.60703812317E+008, +3.83822828284E-006, +6.91431778824E-003
+3.63343108504E+008, +3.52930599060E-006, +6.96798084325E-003
+3.65982404692E+008, +4.65183497234E-006, +7.02221490280E-003
+3.68621700880E+008, +5.24976432404E-006, +7.07739461902E-003
+3.71260997067E+008, +3.27684065322E-006, +7.13198350640E-003
+3.73900293255E+008, +2.38552885836E-006, +7.18689117283E-003
+3.76539589443E+008, +2.32775141234E-006, +7.24175505001E-003
+3.79178885630E+008, +1.51043297987E-006, +7.29902515214E-003
+3.81818181818E+008, +9.98604824462E-007, +7.35590570989E-003
+3.84457478006E+008, -4.18661627889E-008, +7.41277822786E-003
+3.87096774194E+008, -5.40512974806E-007, +7.46939933224E-003
+3.89736070381E+008, +1.02978099749E-006, +7.52405294168E-003
+3.92375366569E+008, +2.46328844453E-007, +7.57884908879E-003
+3.95014662757E+008, -4.04906746323E-007, +7.63518014040E-003
+3.97653958944E+008, -3.07780150193E-008, +7.68916251904E-003
+4.00293255132E+008, -7.04120977025E-007, +7.74469430547E-003
+4.02932551320E+008, +4.55115511645E-007, +7.80055979364E-003
+4.05571847507E+008, +6.40499182266E-008, +7.85645582060E-003
+4.08211143695E+008, +2.83075680963E-007, +7.91206087271E-003
+4.10850439883E+008, +6.60547730457E-008, +7.96898001455E-003
+4.13489736070E+008, +3.35362964725E-007, +8.02603602362E-003
+4.16129032258E+008, -3.09001958009E-007, +8.08169098861E-003
+4.18768328446E+008, -5.66956652531E-007, +8.13850782457E-003
+4.21407624633E+008, -6.36613404952E-007, +8.19630593760E-003
+4.24046920821E+008, +6.83863265970E-007, +8.25359690649E-003
+4.26686217009E+008, +1.29814318167E-007, +8.31040041572E-003
+4.29325513196E+008, +5.00039130687E-007, +8.36800067438E-003
+4.31964809384E+008, -3.50402618231E-007, +8.42429463636E-003
+4.34604105572E+008, -2.22063942243E-007, +8.48299341041E-003
+4.37243401760E+008, +2.47615175711E-007, +8.54202014513E-003
+4.39882697947E+008, -2.52872626096E-007, +8.60042585019E-003
+4.42521994135E+008, -2.77918432667E-007, +8.65928427448E-003
+4.45161290323E+008, +4.04886459598E-007, +8.71719434002E-003
+4.47800586510E+008, +4.68648959997E-007, +8.77473632933E-003
+4.50439882698E+008, +1.34085935422E-006, +8.83421425218E-003
+4.53079178886E+008, +1.03218398454E-006, +8.89348580965E-003
+4.55718475073E+008, -8.47205939126E-009, +8.95080404887E-003
+4.58357771261E+008, +7.30399810233E-007, +9.01051543297E-003
+4.60997067449E+008, +5.30955305178E-007, +9.06794935015E-003
+4.63636363636E+008, +3.06983684102E-007, +9.12735312546E-003
+4.66275659824E+008, +1.61632291436E-007, +9.18493247912E-003
+4.68914956012E+008, +2.58521265178E-008, +9.24452732615E-003
+4.71554252199E+008, -3.31865183783E-007, +9.30389575258E-003
+4.74193548387E+008, +3.82321692539E-007, +9.36415156935E-003
+4.76832844575E+008, +2.13783987874E-008, +9.42362342673E-003
+4.79472140762E+008, +7.50433540020E-008, +9.48190018197E-003
+4.82111436950E+008, +8.23266922156E-008, +9.54213955622E-003
+4.84750733138E+008, +3.75246973740E-007, +9.60229508228E-003
+4.87390029326E+008, +9.15131908937E-007, +9.66157685398E-003
+4.90029325513E+008, +3.30935460289E-007, +9.72289910604E-003
+4.92668621701E+008, -6.89767017811E-007, +9.78271749531E-003
+4.95307917889E+008, +5.66506849202E-007, +9.84242649768E-003
